Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 0.1942569
1.0625E-5 ; 0.1884568
1.125E-5 ; 0.1831471
1.1875E-5 ; 0.1782623
1.25E-5 ; 0.1737486
1.375E-5 ; 0.1656628
1.5E-5 ; 0.1586101
1.625E-5 ; 0.1523876
1.75E-5 ; 0.1468444
1.875E-5 ; 0.1418651
2.0E-5 ; 0.1373603
2.1875E-5 ; 0.1313416
2.375E-5 ; 0.1260505
2.5625E-5 ; 0.1213513
2.75E-5 ; 0.1171413
2.9375E-5 ; 0.1133411
3.125E-5 ; 0.1098883
3.3125E-5 ; 0.1067329
3.5E-5 ; 0.1038346
3.75E-5 ; 0.1003138
4.0E-5 ; 0.09712842
4.25E-5 ; 0.09422841
4.625E-5 ; 0.09032759
5.0E-5 ; 0.08687429
5.3125E-5 ; 0.08428044
5.625E-5 ; 0.08190587
5.9375E-5 ; 0.07972132
6.25E-5 ; 0.07770273
6.875E-5 ; 0.07408664
7.5E-5 ; 0.07093256
8.0E-5 ; 0.06868015
8.75E-5 ; 0.06567078
9.375E-5 ; 0.06344401
1.0E-4 ; 0.0614294
1.0625E-4 ; 0.05959527
1.125E-4 ; 0.05791619
1.1875E-4 ; 0.05637148
1.25E-4 ; 0.05494412
1.375E-4 ; 0.05238716
1.5E-4 ; 0.05015689
1.625E-4 ; 0.04818918
1.75E-4 ; 0.04643625
1.875E-4 ; 0.04486168
2.0E-4 ; 0.04343713
2.1875E-4 ; 0.04153384
2.375E-4 ; 0.03986064
2.5625E-4 ; 0.03837463
2.75E-4 ; 0.03704331
2.9375E-4 ; 0.03584158
3.125E-4 ; 0.0347497
3.3125E-4 ; 0.03375189
3.5E-4 ; 0.03283538
3.75E-4 ; 0.03172199
4.0E-4 ; 0.03071468
4.25E-4 ; 0.02979761
4.625E-4 ; 0.02856407
5.0E-4 ; 0.02747204
5.3125E-4 ; 0.02665179
5.625E-4 ; 0.02590088
5.9375E-4 ; 0.02521007
6.25E-4 ; 0.02457173
6.875E-4 ; 0.02342823
7.5E-4 ; 0.02243081
8.0E-4 ; 0.02171854
8.75E-4 ; 0.02076689
9.375E-4 ; 0.02006272
0.001 ; 0.01942565
0.0010625 ; 0.01884564
0.001125 ; 0.01831467
0.0011875 ; 0.01782619
0.00125 ; 0.01737482
0.001375 ; 0.01656623
0.0015 ; 0.01586096
0.001625 ; 0.01523871
0.00175 ; 0.01468439
0.001875 ; 0.01418646
0.002 ; 0.01373598
0.0021875 ; 0.0131341
0.002375 ; 0.01260499
0.0025625 ; 0.01213507
0.00275 ; 0.01171407
0.0029375 ; 0.01133405
0.003125 ; 0.01098876
