Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 131.0442
1.0625E-5 ; 127.1315
1.125E-5 ; 123.5496
1.1875E-5 ; 120.2544
1.25E-5 ; 117.2095
1.375E-5 ; 111.7548
1.5E-5 ; 106.9971
1.625E-5 ; 102.7995
1.75E-5 ; 99.06008
1.875E-5 ; 95.70113
2.0E-5 ; 92.66221
2.1875E-5 ; 88.60202
2.375E-5 ; 85.03269
2.5625E-5 ; 81.86264
2.75E-5 ; 79.0226
2.9375E-5 ; 76.45902
3.125E-5 ; 74.12977
3.3125E-5 ; 72.0012
3.5E-5 ; 70.04605
3.875E-5 ; 66.5705
4.25E-5 ; 63.56575
4.625E-5 ; 60.93429
5.0E-5 ; 58.60473
5.3125E-5 ; 56.85493
5.625E-5 ; 55.25306
5.9375E-5 ; 53.77938
6.25E-5 ; 52.41765
6.875E-5 ; 49.97827
7.5E-5 ; 47.85055
8.125E-5 ; 45.97332
8.75E-5 ; 44.301
9.375E-5 ; 42.79883
1.0E-4 ; 41.43979
1.0625E-4 ; 40.2025
1.125E-4 ; 39.06981
1.1875E-4 ; 38.02776
1.25E-4 ; 37.06487
1.375E-4 ; 35.33997
1.5E-4 ; 33.83544
1.625E-4 ; 32.50804
1.75E-4 ; 31.32553
1.875E-4 ; 30.26333
2.0E-4 ; 29.30235
2.1875E-4 ; 28.0184
2.375E-4 ; 26.88968
2.5625E-4 ; 25.88722
2.75E-4 ; 24.98912
2.9375E-4 ; 24.17845
3.125E-4 ; 23.44187
3.3125E-4 ; 22.76876
3.5E-4 ; 22.15049
3.875E-4 ; 21.05142
4.25E-4 ; 20.10124
4.625E-4 ; 19.2691
5.0E-4 ; 18.53243
5.3125E-4 ; 17.9791
5.625E-4 ; 17.47254
5.9375E-4 ; 17.00652
6.25E-4 ; 16.57591
6.875E-4 ; 15.80451
7.5E-4 ; 15.13167
8.125E-4 ; 14.53804
8.75E-4 ; 14.00921
9.375E-4 ; 13.53419
0.001 ; 13.10443
0.0010625 ; 12.71316
0.001125 ; 12.35498
0.0011875 ; 12.02546
0.00125 ; 11.72097
0.001375 ; 11.17551
0.0015 ; 10.69975
0.001625 ; 10.27999
0.00175 ; 9.906058
0.001875 ; 9.570169
0.002 ; 9.266283
0.0021875 ; 8.86027
0.002375 ; 8.503341
0.0025625 ; 8.18634
0.00275 ; 7.902339
0.0029375 ; 7.645981
0.003125 ; 7.413056
0.0033125 ; 7.200197
0.0035 ; 7.004679
0.003875 ; 6.657116
0.00425 ; 6.356629
0.004625 ; 6.09347
0.005 ; 5.860497
0.0053125 ; 5.685504
0.005625 ; 5.525301
0.0059375 ; 5.377918
