Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 92.75807
1.0625E-5 ; 90.02914
1.125E-5 ; 87.53204
1.1875E-5 ; 85.23581
1.25E-5 ; 83.11499
1.375E-5 ; 79.31831
1.5E-5 ; 76.00971
1.625E-5 ; 73.09327
1.75E-5 ; 70.49752
1.875E-5 ; 68.16799
2.0E-5 ; 66.06232
2.1875E-5 ; 63.25215
2.375E-5 ; 60.78507
2.5625E-5 ; 58.59692
2.75E-5 ; 56.63921
2.9375E-5 ; 54.87444
3.125E-5 ; 53.27315
3.3125E-5 ; 51.81178
3.5E-5 ; 50.47128
3.875E-5 ; 48.09309
4.25E-5 ; 46.04256
4.625E-5 ; 44.25156
5.0E-5 ; 42.67026
5.3125E-5 ; 41.48541
5.625E-5 ; 40.40312
5.9375E-5 ; 39.40964
6.25E-5 ; 38.49365
6.875E-5 ; 36.85811
7.5E-5 ; 35.43778
8.125E-5 ; 34.19012
8.75E-5 ; 33.08348
9.375E-5 ; 32.09375
1.0E-4 ; 31.20217
1.0625E-4 ; 30.39396
1.125E-4 ; 29.65724
1.1875E-4 ; 28.98236
1.25E-4 ; 28.36141
1.375E-4 ; 27.256
1.5E-4 ; 26.29991
1.625E-4 ; 25.46341
1.75E-4 ; 24.72437
1.875E-4 ; 24.06598
2.0E-4 ; 23.47517
2.1875E-4 ; 22.6937
2.375E-4 ; 22.01493
2.5625E-4 ; 21.41922
2.75E-4 ; 20.89178
2.9375E-4 ; 20.42119
3.125E-4 ; 19.99851
3.3125E-4 ; 19.61661
3.5E-4 ; 19.26975
3.875E-4 ; 18.66319
4.25E-4 ; 18.15008
4.625E-4 ; 17.71018
5.0E-4 ; 17.32877
5.3125E-4 ; 17.04759
5.625E-4 ; 16.79443
5.9375E-4 ; 16.56529
6.25E-4 ; 16.35692
6.875E-4 ; 15.99218
7.5E-4 ; 15.68354
8.125E-4 ; 15.41906
8.75E-4 ; 15.18999
9.375E-4 ; 14.98973
0.001 ; 14.81323
0.0010625 ; 14.65655
0.001125 ; 14.51656
0.0011875 ; 14.39076
0.00125 ; 14.27713
0.001375 ; 14.08002
0.0015 ; 13.91501
0.001625 ; 13.77493
0.00175 ; 13.65458
0.001875 ; 13.5501
0.002 ; 13.45856
0.0021875 ; 13.34074
0.002375 ; 13.24143
0.0025625 ; 13.15661
0.00275 ; 13.08332
0.0029375 ; 13.01938
0.003125 ; 12.9631
0.0033125 ; 12.91319
0.0035 ; 12.86862
0.003875 ; 12.79242
0.00425 ; 12.72967
0.004625 ; 12.67709
0.005 ; 12.6324
0.0053125 ; 12.59997
0.005625 ; 12.57115
0.0059375 ; 12.54536
