Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 223.8023
1.0625E-5 ; 217.1607
1.125E-5 ; 211.0817
1.1875E-5 ; 205.4902
1.25E-5 ; 200.3245
1.375E-5 ; 191.0732
1.5E-5 ; 183.0068
1.625E-5 ; 175.8928
1.75E-5 ; 169.5576
1.875E-5 ; 163.8691
2.0E-5 ; 158.7245
2.1875E-5 ; 151.8542
2.375E-5 ; 145.8178
2.5625E-5 ; 140.4596
2.75E-5 ; 135.6618
2.9375E-5 ; 131.3335
3.125E-5 ; 127.4029
3.3125E-5 ; 123.813
3.5E-5 ; 120.5173
3.875E-5 ; 114.6636
4.25E-5 ; 109.6083
4.625E-5 ; 105.1859
5.0E-5 ; 101.275
5.3125E-5 ; 98.34034
5.625E-5 ; 95.65618
5.9375E-5 ; 93.18902
6.25E-5 ; 90.91131
6.875E-5 ; 86.83639
7.5E-5 ; 83.28834
8.125E-5 ; 80.16345
8.75E-5 ; 77.38449
9.375E-5 ; 74.89258
1.0E-4 ; 72.64196
1.0625E-4 ; 70.59646
1.125E-4 ; 68.72705
1.1875E-4 ; 67.01012
1.25E-4 ; 65.42628
1.375E-4 ; 62.59597
1.5E-4 ; 60.13535
1.625E-4 ; 57.97145
1.75E-4 ; 56.0499
1.875E-4 ; 54.32931
2.0E-4 ; 52.77751
2.1875E-4 ; 50.7121
2.375E-4 ; 48.9046
2.5625E-4 ; 47.30644
2.75E-4 ; 45.8809
2.9375E-4 ; 44.59963
3.125E-4 ; 43.44038
3.3125E-4 ; 42.38537
3.5E-4 ; 41.42024
3.875E-4 ; 39.71461
4.25E-4 ; 38.25132
4.625E-4 ; 36.97928
5.0E-4 ; 35.86119
5.3125E-4 ; 35.02669
5.625E-4 ; 34.26697
5.9375E-4 ; 33.57181
6.25E-4 ; 32.93283
6.875E-4 ; 31.79669
7.5E-4 ; 30.81521
8.125E-4 ; 29.95711
8.75E-4 ; 29.1992
9.375E-4 ; 28.52392
0.001 ; 27.91766
0.0010625 ; 27.36971
0.001125 ; 26.87154
0.0011875 ; 26.41622
0.00125 ; 25.9981
0.001375 ; 25.25553
0.0015 ; 24.61476
0.001625 ; 24.05493
0.00175 ; 23.56064
0.001875 ; 23.12027
0.002 ; 22.72484
0.0021875 ; 22.20101
0.002375 ; 21.74477
0.0025625 ; 21.34295
0.00275 ; 20.98566
0.0029375 ; 20.66536
0.003125 ; 20.37616
0.0033125 ; 20.11339
0.0035 ; 19.8733
0.003875 ; 19.44954
0.00425 ; 19.0863
0.004625 ; 18.77056
0.005 ; 18.49289
0.0053125 ; 18.28548
0.005625 ; 18.09645
0.0059375 ; 17.92328
