                                                                          cycle k Ent path abs col 
 0 0.498 6.94082e-310 0.995246 0.960418 0.989073
 1 0.4794 6.35478 1.11342 1.02116 0.973937
 2 0.4906 6.38124 0.967957 1.03756 1.06098
 3 0.5039 6.3682 0.815497 0.973722 0.952476
 4 0.49 6.37962 1.03963 1.03311 1.04426
 5 0.507 6.37934 1.01526 0.968753 0.967414
 6 0.4869 6.39034 0.944724 0.99414 1.01138
 7 0.487 6.37034 1.21362 1.02176 0.994495
 8 0.5059 6.36865 0.777899 0.975411 0.997554
 9 0.497 6.37178 1.31948 1.00921 1.03484
 10 0.4904 6.35505 0.719849 1.01373 0.988684
 11 0.513 6.34684 1.26527 0.985906 0.969002
 12 0.4932 6.3863 1.07544 0.991531 1.01125
 13 0.4806 6.39642 0.886102 1.00797 1.02293
 14 0.492 6.35248 1.07282 0.990835 0.975447
 15 0.4942 6.38071 1.05622 1.00706 1.02873
 16 0.4902 6.39649 1.1988 1.00592 0.999516
 17 0.499 6.40211 0.712718 0.991758 0.952392
 18 0.4905 6.36323 0.875674 1.01157 1.03579
 19 0.491 6.36031 1.29424 0.978978 0.97766
 20 0.4868 6.36357 0.806609 1.00709 1.01504
 21 0.4886 6.35436 0.978223 1.03386 1.00952
 22 0.501 6.38191 1.27254 0.976009 0.977751
 23 0.5027 6.39093 0.77091 1.00348 1.00646
 24 0.4935 6.37371 1.01428 0.977803 0.991245
 25 0.4838 6.36535 1.50348 1.01863 1.0044
 26 0.4891 6.34752 0.798319 1.02368 0.999351
 27 0.5051 6.37505 0.902933 0.977943 1.01513
 28 0.4881 6.38194 1.02755 1.03035 1.01705
 29 0.5031 6.36126 1.10688 0.989626 0.977356
 30 0.5079 6.39171 0.808617 0.957783 0.976447
 31 0.486 6.39065 1.44799 1.03221 1.01868
 32 0.4899 6.3584 0.755522 0.988615 0.9913
 33 0.4938 6.361 0.948969 1.00776 1.01275
 34 0.4939 6.35443 0.909825 0.974115 0.983638
 35 0.494 6.40048 1.20364 1.018 1.03921
 36 0.4976 6.36008 0.84779 0.978337 0.97303
 37 0.4797 6.4032 1.04423 1.04079 1.01068
 38 0.5076 6.33773 0.908541 0.989194 1.00057
 39 0.4977 6.37022 1.43058 0.982215 0.995726
 40 0.486 6.36635 0.786121 0.991405 0.983378
 41 0.4856 6.37193 1.05022 1.00401 0.981387
 42 0.4782 6.38431 1.15781 1.04527 1.07005
 43 0.5023 6.37951 0.737707 0.982854 0.972287
 44 0.4916 6.40784 1.14699 0.983435 0.986856
 45 0.4919 6.33174 0.822366 1.02299 1.01461
 46 0.5096 6.38982 1.09224 1.00357 1.01123
 47 0.5036 6.36692 1.2621 1.00649 0.964232
 48 0.5156 6.35721 0.9657 1.00148 1.02798
 49 0.5079 6.35465 1.2644 0.943348 0.983601
 50 0.484 6.35353 1.06243 0.998342 0.976072
 51 0.4773 6.35841 0.90988 1.05955 1.02323
 52 0.5072 6.34241 0.776224 0.960627 0.969959
 53 0.4891 6.36286 0.872752 1.01518 1.02643
 54 0.4926 6.342 1.32671 1.0267 1.02046
 55 0.4991 6.37312 1.00374 0.981714 0.978586
 56 0.4969 6.3715 0.986597 1.0102 1.02266
 57 0.5027 6.35885 1.04047 0.971824 0.962466
 58 0.4946 6.35054 0.809034 1.03117 1.0427
 59 0.5069 6.38827 1.17322 0.992083 1.00323
 60 0.4996 6.35518 1.07713 1.0011 0.999244
 61 0.5116 6.38094 1.00232 0.99561 1.00273
 62 0.4971 6.34871 0.88289 1.02844 0.984289
 63 0.5086 6.35058 1.1331 0.952359 0.983301
 64 0.4891 6.36292 0.729683 1.0297 1.03112
 65 0.5055 6.34726 1.10872 1.01276 0.9821
 66 0.5134 6.40301 1.28452 1.0016 1.04214
 67 0.5118 6.37155 1.05534 0.97055 0.97771
 68 0.502 6.37227 0.83097 1.02313 0.994248
 69 0.5023 6.35569 0.904064 0.991016 0.991728
 70 0.4962 6.35605 1.12448 1.0156 1.03501
 71 0.5134 6.38106 0.809866 0.987948 0.951505
 72 0.5061 6.3799 1.23221 0.983113 1.02736
 73 0.4952 6.38981 0.969836 1.00652 0.983421
 74 0.5044 6.34949 1.02987 0.998585 1.00142
 75 0.4998 6.37345 1.25311 1.00063 0.993015
 76 0.495 6.35237 0.782216 0.993124 1.00726
 77 0.497 6.37929 1.08735 1.0041 1.00866
 78 0.4969 6.38874 0.79395 1.00332 0.987669
 79 0.4903 6.36205 1.11991 0.984895 0.977356
 80 0.4925 6.34986 0.760905 1.01882 1.00873
 81 0.503 6.3602 1.37653 1.00369 1.01449
 82 0.4995 6.35785 1.14572 1.02429 1.02785
 83 0.5121 6.37511 0.782481 0.962698 0.954521
 84 0.4889 6.3886 1.22378 1.03431 1.03296
 85 0.5099 6.34826 0.882229 0.966613 0.998044
 86 0.4972 6.38824 0.997334 1.018 1.01556
 87 0.4923 6.36692 0.967083 0.956706 0.983386
 88 0.473 6.37539 1.3063 1.04505 1.00319
 89 0.4975 6.33332 0.991619 1.0105 1.02176
 90 0.5053 6.35704 0.977007 0.972241 0.966394
 91 0.4974 6.36464 0.820861 1.02722 1.01896
 92 0.505 6.37135 0.95477 1.00021 1.00534
 93 0.5115 6.37445 1.25769 0.992637 1.00479
 94 0.5116 6.37152 0.809007 0.975886 0.967663
 95 0.4845 6.38043 0.945112 1.00903 1.00581
