                                                                          cycle k Ent path abs col 
 0 0.9807 6.95269e-310 1.17623 1.01462 0.991476
 1 0.9925 6.1385 1.11782 0.992427 1.01897
 2 0.9806 6.13052 0.787067 0.994648 0.977952
 3 0.9862 6.14613 1.02337 1.02519 1.00565
 4 1.0017 6.1476 1.09315 0.983537 1.01332
 5 0.9972 6.15292 0.91515 0.985937 0.992178
 6 0.984 6.13915 1.07239 1.01999 1.01135
 7 0.9952 6.1577 0.778069 0.984491 0.975697
 8 0.9757 6.16772 1.15497 1.01382 1.00707
 9 0.9894 6.15075 0.966445 0.992023 1.01711
 10 0.9804 6.15068 1.35682 0.990059 1.01177
 11 0.978 6.14397 0.858041 1.00944 0.983419
 12 0.9859 6.13407 0.751379 0.998865 0.978765
 13 0.99 6.1523 1.46842 1.00646 1.02351
 14 0.984 6.13572 0.740894 1.00954 1.00005
 15 1.0079 6.15054 1.11506 0.985573 0.98788
 16 0.979 6.15725 0.947256 1.01632 1.00652
 17 1.0079 6.13599 1.16993 0.990775 1.01599
 18 1.0011 6.14865 0.927828 0.997267 0.996138
 19 0.9938 6.15435 1.14387 1.01163 1.00152
 20 0.9978 6.14523 0.761357 0.982351 0.983959
 21 0.9823 6.15941 1.1107 0.999524 0.990072
 22 0.9748 6.1591 1.11266 0.999383 1.01395
 23 0.9953 6.14715 0.844323 1.02977 1.00384
 24 1.0032 6.14011 1.23169 0.972378 0.991106
 25 0.9627 6.1414 0.930924 0.998853 1.02016
 26 0.9864 6.13246 0.960304 1.01378 0.992492
 27 0.9835 6.14395 0.946089 1.01347 0.982337
 28 1.0088 6.15264 1.00898 0.979897 1.01175
 29 0.9868 6.15165 1.18781 1.00177 1.00087
 30 0.9866 6.15034 0.88064 0.993296 0.984616
 31 0.988 6.15289 1.11936 1.00751 1.01142
 32 0.9925 6.16715 1.02335 1.00726 1.00238
 33 0.9908 6.15871 0.818967 1.00306 0.999091
 34 1.0015 6.15015 0.979555 0.98305 0.981924
 35 0.9959 6.15419 1.16883 1.00419 1.01939
 36 0.9791 6.1615 1.02428 1.00954 0.999333
 37 0.9929 6.14174 0.783627 0.97469 0.995587
 38 0.9771 6.14549 1.30929 0.993821 1.01716
 39 0.9699 6.14262 0.694378 1.01668 0.983588
 40 0.9867 6.13932 1.13032 1.00946 0.994662
 41 0.9942 6.14099 1.10461 0.985988 1.00619
 42 0.9843 6.14473 1.10968 1.0276 1.01069
 43 1.0076 6.14515 0.873233 0.991693 1.00264
 44 0.9909 6.14533 0.998517 0.991807 0.995292
 45 0.9777 6.14409 0.985906 1.01807 0.988436
 46 1.0112 6.15558 1.08438 0.990964 1.02112
 47 0.9997 6.15551 0.870033 0.987309 0.978768
 48 0.988 6.15159 1.11412 1.00282 1.00754
 49 0.9852 6.13657 0.939291 0.997521 0.997579
 50 0.9933 6.14119 1.22597 1.00607 1.01414
 51 0.9958 6.15385 0.882188 1.00161 1.00347
 52 0.9899 6.14609 1.28291 0.996107 0.992128
 53 0.9878 6.14216 0.717945 0.98624 0.977959
 54 0.9676 6.15276 1.19832 1.00975 1.03368
 55 0.9769 6.15894 0.957595 1.02006 0.976585
 56 0.9959 6.13961 1.17037 0.998105 1.02547
 57 1.0083 6.16986 0.769583 1.00909 0.977329
 58 1.0215 6.15908 1.08531 0.987207 0.991974
 59 0.9942 6.15404 1.01904 0.98392 1.01431
 60 1.0014 6.1523 0.978653 0.985929 0.98081
 61 0.9744 6.1487 1.17548 1.01437 1.00952
 62 0.9808 6.14258 0.747854 0.997557 1.00803
 63 0.9756 6.14758 1.2801 1.01196 0.994157
 64 0.9845 6.13924 1.06795 0.986291 0.998987
 65 0.9796 6.16235 0.600354 1.02169 0.995486
 66 0.9942 6.14495 1.32317 0.991677 1.00487
 67 0.9847 6.15585 1.07621 0.991998 1.01384
 68 0.9782 6.14955 0.969015 1.00869 0.977047
 69 1.0038 6.14386 0.902465 0.981684 1.0106
 70 0.9752 6.16099 1.3191 1.04249 1.00692
 71 1.0132 6.1541 0.748192 0.963417 0.986046
 72 0.9806 6.17029 1.33593 1.02324 1.02784
 73 1.0006 6.14284 0.83018 0.980778 1.0063
 74 0.9746 6.15621 1.06617 1.01449 0.975277
 75 0.9971 6.15263 0.963133 1.00654 1.00604
 76 1.0081 6.14477 0.932312 0.983894 0.991436
 77 0.992 6.15427 0.980922 1.00288 1.00877
 78 0.9847 6.13895 1.23469 0.987704 0.993838
 79 0.9686 6.14029 0.793664 1.01912 0.991934
 80 1.0088 6.14172 1.12609 1.00841 1.01613
 81 1.0057 6.14792 0.992778 0.982858 0.978216
 82 0.9872 6.13897 0.780256 1.01071 0.998879
 83 0.9991 6.13741 1.23186 0.979628 1.00421
 84 0.9759 6.15363 1.14616 1.02533 1.02027
 85 1.0044 6.1558 1.06897 0.993771 0.986692
 86 0.9842 6.14077 0.733282 1.00442 1.00563
 87 1.0094 6.13221 1.13229 1.00269 1.00677
 88 0.9988 6.14995 1.13867 0.994334 0.989412
 89 0.9948 6.14718 0.743752 0.996228 1.0042
 90 0.9894 6.15616 1.16805 0.997049 1.01145
 91 0.9868 6.15019 1.01362 0.995344 0.992238
 92 0.9808 6.14754 1.12805 1.01822 1.01061
 93 1.0015 6.14904 0.998722 1.00894 0.987327
 94 1.0255 6.16206 1.13494 0.995946 0.998236
 95 1.0066 6.16683 0.795155 0.990889 1.01143
