                                                                          cycle k Ent path abs col 
 0 1.0442 6.95313e-310 1.00662 1.03366 0.980277
 1 1.0716 6.2161 0.984297 0.970038 0.995391
 2 1.0557 6.19996 0.924279 1.02695 1.02695
 3 1.0742 6.2066 1.503 0.972516 0.986918
 4 1.0381 6.19627 0.75412 1.01159 0.992331
 5 1.0584 6.19503 0.971533 0.974961 0.979154
 6 1.0317 6.19631 1.46119 1.03898 1.01715
 7 1.0702 6.1877 0.751964 0.978907 1.00875
 8 1.038 6.19812 0.997086 0.977549 1.00324
 9 1.0228 6.2083 1.026 1.01459 1.00004
 10 1.0355 6.18898 0.818972 1.01107 0.992473
 11 1.0472 6.19926 1.23403 1.00329 1.00497
 12 1.0602 6.18497 0.973047 1.00616 1.00953
 13 1.0599 6.19469 0.879636 0.991227 0.985997
 14 1.0504 6.19744 0.976031 1.0016 0.995095
 15 1.0605 6.20739 1.23705 0.982257 1.00205
 16 1.0219 6.19388 0.775239 1.00297 0.99585
 17 1.0373 6.17925 1.68647 1.00981 1.00037
 18 1.0511 6.19869 0.679151 0.990946 1.02613
 19 1.0349 6.2016 1.38888 0.996809 0.979158
 20 1.0338 6.21303 0.725972 1.02697 0.996961
 21 1.0575 6.18514 0.971721 1.001 1.01541
 22 1.0647 6.20098 0.939928 0.982071 0.982363
 23 1.0348 6.20011 1.01662 1.00874 1.00672
 24 1.0539 6.20359 1.47544 0.998732 1.0179
 25 1.0363 6.19757 0.712797 0.994517 0.958831
 26 1.0384 6.20983 1.29746 1.02039 1.03591
 27 1.0561 6.19635 0.727636 0.981884 0.970653
 28 1.0482 6.20825 1.04153 1.019 1.013
 29 1.0618 6.20032 1.04373 0.97933 1.01447
 30 1.0526 6.19423 0.906722 1.01678 0.993328
 31 1.0511 6.1959 1.20433 0.977759 1.00613
 32 1.0406 6.20796 1.07975 1.03484 0.987719
 33 1.0674 6.18617 1.033 0.969961 1.01967
 34 1.0384 6.20228 1.01697 1.00989 0.999964
 35 1.0428 6.19648 0.917312 1.00653 1.00612
 36 1.0587 6.20412 1.1083 1.00795 0.986265
 37 1.0542 6.2006 0.74077 0.984281 1.00276
 38 1.0483 6.20469 1.20189 1.00186 0.994348
 39 1.0512 6.19782 0.813838 0.983853 0.984939
 40 1.0283 6.20208 1.19412 1.01915 1.02087
 41 1.0549 6.18428 0.821825 0.973271 0.970275
 42 1.0248 6.19072 1.51629 1.03256 1.02257
 43 1.0596 6.1912 0.834468 0.992804 0.998142
 44 1.053 6.19689 1.31797 1.00308 1.00547
 45 1.0507 6.18783 0.712372 0.997969 0.985754
 46 1.0536 6.20126 0.865144 1.00512 1.0245
 47 1.0624 6.19982 1.11986 0.994099 0.987249
 48 1.0529 6.18963 0.936552 0.999482 1.02203
 49 1.0621 6.21389 1.08842 0.974953 0.971832
 50 1.0368 6.19403 0.861111 1.02382 0.999283
 51 1.0359 6.19633 1.13782 1.00165 1.02207
 52 1.0548 6.20754 0.754255 0.995371 0.976591
 53 1.0483 6.2035 1.23353 1.01142 1.00041
 54 1.0596 6.18587 1.1839 0.980943 0.999329
 55 1.035 6.19309 0.999926 1.01696 1.02569
 56 1.066 6.20422 0.796753 0.985717 0.975245
 57 1.0416 6.20268 1.25467 0.995873 1.01681
 58 1.0464 6.19341 1.09652 1.01472 1.00253
 59 1.0459 6.20303 0.837413 0.99938 0.993963
 60 1.0395 6.18725 0.90886 0.991536 0.995256
 61 1.0483 6.18711 1.08171 1.00615 1.00547
 62 1.0429 6.18907 1.29984 0.99661 0.996754
 63 1.0479 6.195 0.730498 1.0095 0.994543
 64 1.0674 6.20062 1.11952 0.997101 1.02681
 65 1.0521 6.19522 0.865777 0.980195 0.960455
 66 1.0349 6.19149 1.05104 1.01319 1.02256
 67 1.0468 6.18971 0.927387 0.993858 0.993126
 68 1.0217 6.19286 1.16216 1.00178 0.988531
 69 1.0517 6.20232 0.969271 1.00808 1.01408
 70 1.0439 6.20127 1.06429 0.999351 1.00261
 71 1.0462 6.18369 0.851641 1.00418 0.996187
 72 1.0578 6.18995 0.988058 0.997419 0.987213
 73 1.0383 6.19276 1.2182 0.998835 1.02979
 74 1.0553 6.18417 0.856114 0.993741 0.990882
 75 1.0306 6.19002 0.853545 1.00509 0.984331
 76 1.0467 6.20289 1.14589 0.991243 1.01159
 77 1.0456 6.20269 1.05191 0.999015 1.00809
 78 1.0274 6.19211 0.948137 1.00938 0.975873
 79 1.0356 6.18869 1.04072 0.982499 1.04793
 80 1.0347 6.1863 1.27661 1.02159 0.957736
 81 1.05 6.20605 0.777736 1.00643 1.01117
 82 1.0555 6.18854 1.12675 1.00542 1.002
 83 1.08 6.20591 1.05673 0.987644 1.00851
 84 1.0523 6.19756 0.751495 0.999562 0.982659
 85 1.051 6.19625 1.05678 0.988965 1.0174
 86 1.0378 6.20662 1.08968 1.01872 1.00055
 87 1.0545 6.21265 0.947144 0.969855 0.984207
 88 1.0156 6.20446 1.07138 1.0234 1.01203
 89 1.0523 6.1864 0.963495 1.00608 0.996935
 90 1.0618 6.20212 0.840824 0.991139 0.986721
 91 1.0526 6.2029 1.11395 1.00264 1.00515
 92 1.0482 6.19983 1.19797 1.01409 1.006
 93 1.0539 6.19354 0.823686 0.989041 0.983734
 94 1.0402 6.20072 0.997455 1.00751 1.01958
 95 1.0517 6.20696 1.07031 0.983242 1.00042
