                                                                          cycle k Ent path abs col 
 0 1.3067 6.95328e-310 0.939136 1.00338 0.979308
 1 1.3126 6.37216 0.91818 0.995989 0.989745
 2 1.314 6.37008 1.33884 0.997071 1.00974
 3 1.3038 6.37124 0.787551 0.997665 1.00326
 4 1.3005 6.36802 1.09072 1.01506 1.01994
 5 1.3258 6.38093 0.806988 0.987539 0.973899
 6 1.3035 6.37669 1.23729 0.994214 1.00662
 7 1.3074 6.37132 0.773494 1.01607 0.998286
 8 1.3162 6.36906 1.03544 0.977932 1.00897
 9 1.2741 6.37309 1.23313 1.02641 0.99544
 10 1.3232 6.36736 1.04712 0.993528 0.989345
 11 1.3175 6.37431 0.867306 0.994201 0.996627
 12 1.3092 6.37359 1.00204 1.00958 1.03375
 13 1.316 6.35787 1.03654 0.99065 0.97777
 14 1.3093 6.3773 1.06818 1.00254 1.00529
 15 1.3139 6.37227 1.10691 0.9833 0.98288
 16 1.2852 6.37568 0.970425 1.00925 1.00945
 17 1.2926 6.373 1.02509 1.0032 1.00693
 18 1.2896 6.37889 0.746338 1.00495 1.01154
 19 1.3087 6.37505 1.29121 1.01294 0.996584
 20 1.3253 6.3728 0.875852 0.977718 0.98854
 21 1.3062 6.37477 1.10038 1.01416 1.00851
 22 1.3101 6.36815 0.87793 0.992331 0.988063
 23 1.3125 6.38553 1.32916 0.997589 1.00029
 24 1.2962 6.38006 0.819102 1.02036 1.00911
 25 1.3431 6.36951 1.21526 0.980765 0.984717
 26 1.3085 6.36749 0.883075 0.993049 1.0052
 27 1.2914 6.37264 0.846891 1.01072 0.998013
 28 1.3144 6.36724 1.13153 1.00811 1.00121
 29 1.3185 6.37489 0.979778 0.989242 1.00095
 30 1.3085 6.37373 0.846244 0.995856 0.999334
 31 1.3069 6.37337 0.957359 1.00972 0.979597
 32 1.3269 6.36075 1.11738 0.993106 1.01263
 33 1.3031 6.37051 0.881171 1.00552 0.992273
 34 1.3031 6.36965 1.3607 0.997242 1.02865
 35 1.3033 6.36254 0.875924 1.0034 0.997879
 36 1.3187 6.36794 0.974018 0.988797 1.00043
 37 1.2979 6.37374 1.43297 1.02716 0.997055
 38 1.3308 6.36586 0.758404 0.990815 1.00023
 39 1.3091 6.37118 0.989376 0.980665 0.971662
 40 1.2913 6.36742 1.04237 1.03182 1.03548
 41 1.3351 6.36131 1.05459 0.977296 0.996028
 42 1.3165 6.37977 0.877885 1.0184 0.999264
 43 1.3239 6.37492 1.04757 0.984151 0.98683
 44 1.321 6.37896 1.09463 1.00009 1.01179
 45 1.2998 6.37221 0.998229 0.993589 0.98932
 46 1.2896 6.36762 0.76383 1.01087 0.992649
 47 1.3165 6.37974 1.23973 0.974741 1.005
 48 1.2785 6.37502 1.08021 1.03382 1.01806
 49 1.3315 6.36616 0.821088 0.980233 1.00123
 50 1.2953 6.3853 0.912827 1.00423 0.992155
 51 1.3106 6.37162 1.28788 0.984464 0.994375
 52 1.2831 6.36519 0.93966 1.01592 1.00513
 53 1.2988 6.37165 0.800158 0.998914 0.974013
 54 1.2901 6.36495 1.33094 1.01525 1.02365
 55 1.3143 6.36964 0.917358 0.986553 0.992177
 56 1.2863 6.37285 1.10239 0.997954 1.01753
 57 1.3002 6.38824 0.810835 1.01851 0.995515
 58 1.3217 6.36931 1.37108 0.97903 1.02491
 59 1.2948 6.38671 0.874193 0.995306 0.964519
 60 1.2755 6.37335 0.913312 1.00684 0.98961
 61 1.2959 6.37285 1.17468 1.00789 1.02871
 62 1.298 6.37659 0.711704 0.994244 0.982416
 63 1.2949 6.37219 1.08058 1.00738 1.01515
 64 1.3228 6.37703 0.951664 1.01546 1.01772
 65 1.3462 6.38172 1.30885 0.972293 0.963584
 66 1.2892 6.36461 0.903868 1.00651 1.00691
 67 1.3025 6.36644 1.01878 0.994303 1.00073
 68 1.2882 6.37319 1.01804 1.01307 0.993903
 69 1.3042 6.36618 0.949563 1.00372 1.0061
 70 1.3148 6.36968 0.992017 0.998257 1.00532
 71 1.3112 6.37381 0.98592 0.994476 0.981251
 72 1.298 6.36969 1.24504 1.00092 1.02426
 73 1.3108 6.37596 0.973521 1.01605 1.01786
 74 1.3339 6.38766 0.899778 0.982018 0.975119
 75 1.3112 6.36974 0.798148 1.00798 0.993574
 76 1.3039 6.36745 1.11998 1.01915 1.0258
 77 1.3408 6.38638 1.05797 0.971986 0.975825
 78 1.3121 6.3672 1.12321 1.00822 1.00362
 79 1.3199 6.37558 1.05108 0.992389 1.00519
 80 1.3073 6.37565 0.801391 0.997779 0.990389
 81 1.3016 6.38461 1.07545 1.00284 1.01748
 82 1.3075 6.37422 1.03809 0.997067 0.992093
 83 1.2958 6.37204 0.932672 1.00993 1.0012
 84 1.313 6.37071 0.882425 0.996175 1.01577
 85 1.3123 6.37601 1.18014 0.993349 0.970991
 86 1.2939 6.3676 1.00598 1.01114 1.02787
 87 1.3325 6.37193 0.91423 0.993009 0.99132
 88 1.3179 6.36269 1.05997 0.990755 0.999151
 89 1.2991 6.37948 0.876625 1.01151 0.990873
 90 1.3078 6.37012 1.06688 0.991719 0.993276
 91 1.3007 6.36804 1.01781 1.01266 0.999457
 92 1.3106 6.35753 1.23834 1.00008 0.989023
 93 1.3033 6.36903 0.913304 1.00505 1.01404
 94 1.3305 6.37651 1.00378 0.991868 1.01443
 95 1.3159 6.36607 0.976014 0.991559 0.986872
