                                                                          cycle k Ent path abs col 
 0 0.909 0 1.1889 1.00164 1.01584
 1 0.9142 6.07803 0.767428 0.994241 0.998766
 2 0.8996 6.08981 0.975214 1.01013 0.991817
 3 0.9108 6.08349 1.00177 1.02231 1.01089
 4 0.9352 6.09689 1.28059 0.973679 1.00387
 5 0.9087 6.09613 0.986209 0.994972 1.00351
 6 0.8989 6.08393 0.931952 1.00177 0.988252
 7 0.93 6.07791 0.953185 1.00571 1.02119
 8 0.9124 6.09156 1.25143 0.994085 0.980411
 9 0.8982 6.09915 0.797489 1.01245 0.994943
 10 0.908 6.09118 0.908856 0.986555 1.00256
 11 0.9114 6.08888 1.034 0.997401 1.00556
 12 0.907 6.09257 1.14842 1.03121 0.996552
 13 0.9329 6.09207 1.03139 0.980522 0.998056
 14 0.911 6.09731 1.32995 0.997692 1.00958
 15 0.9102 6.08963 0.827064 1.02204 0.985842
 16 0.9318 6.1012 0.756991 0.979536 1.01256
 17 0.9173 6.09617 1.39675 0.993603 1.00123
 18 0.9107 6.08857 0.864395 0.991881 0.991025
 19 0.9003 6.09 1.04432 1.00093 1.01255
 20 0.9203 6.09432 0.742031 1.01804 0.989991
 21 0.9082 6.10039 0.810528 0.983591 0.993395
 22 0.8999 6.09521 1.3174 1.00907 1.00392
 23 0.9135 6.08984 1.03538 1.01407 0.99894
 24 0.9258 6.08894 0.945207 0.975575 0.996014
 25 0.8937 6.0994 1.15229 1.01532 1.02664
 26 0.9091 6.08496 0.90921 1.0014 0.970811
 27 0.9146 6.09378 0.822797 1.00311 0.995211
 28 0.9264 6.10119 1.14064 0.982856 1.0059
 29 0.9024 6.06798 1.10916 1.02034 1.01758
 30 0.913 6.0743 1.19707 0.986837 0.982101
 31 0.9157 6.09806 1.08441 1.01253 1.02126
 32 0.921 6.08116 0.821735 0.989766 1.01038
 33 0.8933 6.09187 1.34211 1.00104 0.979969
 34 0.9108 6.09358 0.645959 1.00377 1.01625
 35 0.9128 6.10379 1.0893 1.00709 0.986834
 36 0.9134 6.09165 0.917024 1.00279 0.995764
 37 0.9148 6.10249 1.16727 0.985006 1.02069
 38 0.9128 6.09027 0.984844 1.014 0.977226
 39 0.9194 6.08568 0.889664 0.985114 1.00928
 40 0.9145 6.07696 1.15772 1.00514 1.00137
 41 0.9166 6.07888 0.82919 0.986084 1.01019
 42 0.8941 6.09046 1.16299 1.00837 0.976866
 43 0.905 6.07653 1.06599 0.995895 1.00079
 44 0.9123 6.08411 0.774939 1.00019 0.988352
 45 0.8992 6.09844 0.933024 1.02519 1.00974
 46 0.9294 6.09006 1.34708 0.989631 1.01932
 47 0.9125 6.09363 1.14512 0.995832 0.985182
 48 0.9083 6.09336 0.684105 0.99576 0.991185
 49 0.8989 6.08637 1.2476 0.995934 1.01499
 50 0.9098 6.09727 0.933144 1.02323 1.01474
 51 0.93 6.08976 1.01829 0.989056 0.989441
 52 0.925 6.09637 0.870656 0.99933 0.993783
 53 0.9071 6.10529 1.0267 0.990444 0.994781
 54 0.9072 6.0893 1.08 1.02479 1.0203
 55 0.9188 6.08231 1.12219 0.980771 0.975967
 56 0.9082 6.09753 0.971584 0.994114 1.0046
 57 0.9165 6.08723 0.848835 1.01081 1.01987
 58 0.9228 6.09773 1.09217 1.00435 0.98052
 59 0.9206 6.07459 1.20416 0.990315 1.01041
 60 0.8969 6.09365 0.869115 0.99334 0.989046
 61 0.9071 6.0869 1.09849 1.0166 1.01467
 62 0.9323 6.08238 0.897044 0.990075 0.995983
 63 0.9107 6.08496 1.20979 1.00238 1.00919
 64 0.9083 6.08933 0.909189 0.981666 0.988164
 65 0.893 6.09501 0.882725 1.01006 0.979158
 66 0.9002 6.09609 1.12812 0.998894 1.01933
 67 0.905 6.09029 0.86664 0.992724 0.984786
 68 0.8999 6.08761 1.06363 1.002 1.00645
 69 0.903 6.08786 1.07854 1.02194 1.03634
 70 0.9171 6.08552 0.990405 0.992992 0.959013
 71 0.9148 6.09664 0.964897 0.998819 1.00575
 72 0.9071 6.09794 0.975069 0.995995 1.00052
 73 0.9055 6.09188 0.760749 1.00658 1.01289
 74 0.9125 6.07586 1.20396 0.989205 0.973577
 75 0.9017 6.09135 0.851896 1.02557 1.01756
 76 0.9291 6.08442 1.5339 0.97574 1.00621
 77 0.9035 6.09076 0.840353 1.00036 0.97874
 78 0.9161 6.0867 1.05349 1.00445 1.01859
 79 0.9194 6.0828 0.772752 0.993616 0.990424
 80 0.9081 6.09698 1.19024 1.00559 0.997393
 81 0.9095 6.09421 1.15947 1.00089 1.01792
 82 0.9123 6.07107 0.780136 1.01579 1.02145
 83 0.9329 6.0852 1.27738 0.99008 0.977345
 84 0.9181 6.10677 0.817143 0.980662 0.974232
 85 0.9007 6.09036 1.10529 1.02563 1.04285
 86 0.9121 6.0838 1.1633 0.994584 0.988416
 87 0.9107 6.09288 0.857631 0.986093 0.995238
 88 0.8979 6.08729 1.16995 1.00345 1.01739
 89 0.905 6.09141 0.805231 0.998682 0.976406
 90 0.9106 6.09871 1.1718 1.01057 1.00635
 91 0.9176 6.0933 0.977943 0.996815 0.988164
 92 0.9078 6.10974 1.10368 1.00674 1.00783
 93 0.9167 6.09683 0.713572 0.986977 0.989494
 94 0.9142 6.08895 1.30954 0.996018 0.992622
 95 0.9036 6.08768 0.852746 1.01169 1.02819
