                                                                          cycle k Ent path abs col 
 0 0.93 96.1909 1.01829 0.989056 0.989441
 1 0.925 95.8649 0.870656 0.99933 0.993783
 2 0.9071 97.5063 1.0267 0.990444 0.994781
 3 0.9072 100.045 1.08 1.02479 1.0203
 4 0.9188 101.362 1.12219 0.980771 0.975967
 5 0.9082 101.701 0.971584 0.994114 1.0046
 6 0.9165 103.744 0.848835 1.01081 1.01987
 7 0.9228 104.309 1.09217 1.00435 0.98052
 8 0.9206 105.069 1.20416 0.990315 1.01041
 9 0.8969 106.388 0.869115 0.99334 0.989046
 10 0.9071 109.527 1.09849 1.0166 1.01467
 11 0.9323 109.943 0.897044 0.990075 0.995983
 12 0.9107 109.025 1.20979 1.00238 1.00919
 13 0.9083 111.937 0.909189 0.981666 0.988164
 14 0.893 113.293 0.882725 1.01006 0.979158
 15 0.9002 115.73 1.12812 0.998894 1.01933
 16 0.905 116.225 0.86664 0.992724 0.984786
 17 0.8999 116.814 1.06363 1.002 1.00645
 18 0.903 118.462 1.07854 1.02194 1.03634
 19 0.9171 119.233 0.990405 0.992992 0.959013
 20 0.9148 119.238 0.964897 0.998819 1.00575
 21 0.9071 120.459 0.975069 0.995995 1.00052
 22 0.9055 122.292 0.760749 1.00658 1.01289
 23 0.9125 123.514 1.20396 0.989205 0.973577
 24 0.9017 123.97 0.851896 1.02557 1.01756
 25 0.9291 126.152 1.5339 0.97574 1.00621
 26 0.9035 124.588 0.840353 1.00036 0.97874
 27 0.9161 128.056 1.05349 1.00445 1.01859
 28 0.9194 127.952 0.772752 0.993616 0.990424
 29 0.9081 128.577 1.19024 1.00559 0.997393
 30 0.9095 130.78 1.15947 1.00089 1.01792
 31 0.9123 131.664 0.780136 1.01579 1.02145
 32 0.9329 132.49 1.27738 0.99008 0.977345
 33 0.9181 131.643 0.817143 0.980662 0.974232
 34 0.9007 134.034 1.10529 1.02563 1.04285
 35 0.9121 136.729 1.1633 0.994584 0.988416
 36 0.9107 136.722 0.857631 0.986093 0.995238
 37 0.8979 137.863 1.16995 1.00345 1.01739
 38 0.905 140.005 0.805231 0.998682 0.976406
 39 0.9106 140.359 1.1718 1.01057 1.00635
 40 0.9176 140.697 0.977943 0.996815 0.988164
 41 0.9078 141.045 1.10368 1.00674 1.00783
 42 0.9167 143.14 0.713572 0.986977 0.989494
 43 0.9142 143.167 1.30954 0.996018 0.992622
 44 0.9036 144.401 0.852746 1.01169 1.02819
 45 0.9126 146.48 1.03215 1.01935 0.997774
 46 0.931 146.45 0.89577 0.998752 0.995075
 47 0.9254 145.543 1.06145 0.990355 1.01367
 48 0.9264 147.154 1.0662 0.992522 1.01108
 49 0.9067 147.828 0.948258 0.991443 0.984053
 50 0.903 150.942 1.08395 0.995583 0.994683
 51 0.8995 152.166 0.978993 0.986053 1.01035
 52 0.8845 153.604 1.10926 1.03062 1.00606
 53 0.9178 156.068 0.859779 0.983803 0.990054
 54 0.9041 153.444 0.868718 1.01477 0.973461
 55 0.914 155.867 1.35282 0.999943 1.02985
 56 0.924 155.669 0.930203 1.00703 0.990349
 57 0.9203 155.488 0.988874 1.0067 1.02763
 58 0.9289 156.786 0.98481 0.993497 0.983149
 59 0.9247 156.833 0.959127 0.976854 0.982719
 60 0.8985 158.145 1.13089 1.01165 0.997797
 61 0.9091 161.834 0.824183 0.982088 0.995289
 62 0.8849 161.59 0.899005 1.01941 1.00078
 63 0.908 165.24 1.13841 1.01104 1.04056
 64 0.9158 163.408 0.975245 0.984285 0.998314
 65 0.8989 163.473 0.956669 1.00983 0.962494
 66 0.9187 166.21 0.967112 0.987705 1.00044
 67 0.9012 164.807 0.942417 1.00443 1.00184
 68 0.9095 167.653 1.35066 1.00431 1.00592
 69 0.9149 167.643 0.826079 0.98451 0.996611
 70 0.9031 167.867 0.999872 1.0142 0.996127
 71 0.9026 169.989 1.06096 1.01988 1.0369
 72 0.9304 170.9 0.965865 0.984841 0.96862
 73 0.917 168.715 1.03132 0.998606 0.994065
 74 0.9132 170.96 0.943654 1.00425 1.01603
 75 0.9147 172.348 1.09467 0.994038 0.996273
 76 0.9226 172.945 1.18978 1.01756 1.02271
 77 0.9236 172.844 0.815257 0.982287 0.998743
 78 0.907 173.615 1.06648 1.00413 0.997779
 79 0.9054 176.371 0.968758 0.987135 0.987365
 80 0.9042 177.427 0.944646 1.0055 0.995975
 81 0.9035 178.285 0.968287 0.996595 0.999639
 82 0.8997 179.209 1.09354 1.00801 1.00063
 83 0.9088 180.432 1.1013 1.01188 1.00299
 84 0.922 180.176 0.79826 0.98407 0.995289
 85 0.9112 179.42 1.07149 1.0062 0.999135
 86 0.9154 181.457 1.2577 0.988622 0.990351
 87 0.8959 181.811 0.853926 1.00482 1.01496
 88 0.9067 185.004 1.17087 0.990579 1.00237
 89 0.8997 184.488 0.774464 1.0295 0.970131
 90 0.9212 186.139 0.91845 0.989327 1.0078
 91 0.9223 184.221 1.26068 1.0012 1.0216
 92 0.9143 184.904 1.02156 0.980772 0.996626
 93 0.8973 186.732 0.886801 1.01614 1.00199
 94 0.9115 189.577 1.02643 1.02024 0.985654
 95 0.9388 188.502 1.01593 0.980893 1.02556
 96 0.917 185.936 0.891487 0.997393 0.984475
 97 0.9173 189.422 0.974126 0.989872 1.0079
 98 0.9017 190.031 0.993535 1.01107 1.00097
 99 0.9217 192.681 1.22859 1.02374 1.00689
