                                                                          cycle k Ent path abs col 
 0 0.9958 96.8321 0.882188 1.00161 1.00347
 1 0.9899 97.9406 1.28291 0.996107 0.992128
 2 0.9878 99.6953 0.717945 0.98624 0.977959
 3 0.9676 101.059 1.19832 1.00975 1.03368
 4 0.9769 103.739 0.957595 1.02006 0.976585
 5 0.9959 104.365 1.17037 0.998105 1.02547
 6 1.0083 104.25 0.769583 1.00909 0.977329
 7 1.0215 104.625 1.08531 0.987207 0.991974
 8 0.9942 104.827 1.01904 0.98392 1.01431
 9 1.0014 108.016 0.978653 0.985929 0.98081
 10 0.9744 108.777 1.17548 1.01437 1.00952
 11 0.9808 112.078 0.747854 0.997557 1.00803
 12 0.9756 112.82 1.2801 1.01196 0.994157
 13 0.9845 114.413 1.06795 0.986291 0.998987
 14 0.9796 114.814 0.600354 1.02169 0.995486
 15 0.9942 116.346 1.32317 0.991677 1.00487
 16 0.9847 116.436 1.07621 0.991998 1.01384
 17 0.9782 118.365 0.969015 1.00869 0.977047
 18 1.0038 120.038 0.902465 0.981684 1.0106
 19 0.9752 119.189 1.3191 1.04249 1.00692
 20 1.0132 122.708 0.748192 0.963417 0.986046
 21 0.9806 120.723 1.33593 1.02324 1.02784
 22 1.0006 124.525 0.83018 0.980778 1.0063
 23 0.9746 123.983 1.06617 1.01449 0.975277
 24 0.9971 127.275 0.963133 1.00654 1.00604
 25 1.0081 126.404 0.932312 0.983894 0.991436
 26 0.992 126.643 0.980922 1.00288 1.00877
 27 0.9847 129.085 1.23469 0.987704 0.993838
 28 0.9686 130.876 0.793664 1.01912 0.991934
 29 1.0088 133.314 1.12609 1.00841 1.01613
 30 1.0057 130.85 0.992778 0.982858 0.978216
 31 0.9872 132.221 0.780256 1.01071 0.998879
 32 0.9991 134.971 1.23186 0.979628 1.00421
 33 0.9759 134.923 1.14616 1.02533 1.02027
 34 1.0044 138.143 1.06897 0.993771 0.986692
 35 0.9842 136.565 0.733282 1.00442 1.00563
 36 1.0094 139.418 1.13229 1.00269 1.00677
 37 0.9988 138.205 1.13867 0.994334 0.989412
 38 0.9948 140.27 0.743752 0.996228 1.0042
 39 0.9894 141.592 1.16805 0.997049 1.01145
 40 0.9868 143.144 1.01362 0.995344 0.992238
 41 0.9808 144.375 1.12805 1.01822 1.01061
 42 1.0015 146.012 0.998722 1.00894 0.987327
 43 1.0255 145.02 1.13494 0.995946 0.998236
 44 1.0066 143.736 0.795155 0.990889 1.01143
 45 0.9903 146.563 0.87431 1.00167 0.999462
 46 1.0022 149.158 1.11691 1.0093 0.999289
 47 1.0144 148.917 1.15784 0.990106 0.992339
 48 0.9962 148.828 0.932468 0.993634 0.990497
 49 0.9829 151.477 0.78645 0.972679 1.00857
 50 0.9492 153.731 1.24468 1.03068 1.01383
 51 0.998 158.17 0.923361 1.01676 0.97429
 52 1.0043 154.133 1.00251 0.974014 0.987306
 53 0.9778 154.475 0.812601 1.01892 1.00833
 54 1.0057 158.151 1.32265 0.983592 1.03035
 55 0.982 156.307 0.883972 1.01125 0.982389
 56 0.9996 159.583 1.29659 0.977239 1.00271
 57 0.9825 158.75 0.757786 1.00096 1.00643
 58 0.9884 161.465 1.2841 0.998358 0.989918
 59 0.9646 161.701 1.1908 1.01404 1.00385
 60 0.9772 165.143 0.598562 1.00001 0.980767
 61 0.984 164.723 1.31668 1.00739 1.02374
 62 1.0022 164.946 0.86289 1.00532 0.994293
 63 1.0049 163.949 1.06126 0.968014 1.00098
 64 0.9574 164.66 1.16698 1.0257 0.989067
 65 0.9891 170.623 0.924006 1.00134 0.997915
 66 0.9963 168.05 0.980742 1.00608 1.02507
 67 0.9993 168.123 0.901132 0.9862 0.974488
 68 1.0004 168.653 1.06389 1.01061 1.01063
 69 1.0072 169.544 0.913323 0.995328 1.02454
 70 1.0066 169.785 1.25295 0.995804 0.981294
 71 0.9913 170.683 1.04318 1.0093 1.00035
 72 1.004 173.185 0.855499 0.991104 1.01871
 73 0.9817 172.65 1.00966 0.992381 0.989989
 74 0.9927 176.01 1.14859 1.00764 1.03324
 75 0.9926 175.685 0.953966 0.995828 0.985448
 76 0.9971 176.534 0.894716 1.02328 0.960131
 77 1.0206 176.913 0.920277 1.00238 1.01847
 78 1.0149 175.348 1.24072 0.991154 1.00109
 79 1.0046 176.796 0.889801 0.99729 0.999621
 80 0.9978 178.685 1.02353 0.985972 0.990179
 81 0.9914 180.24 0.983668 1.00274 0.995299
 82 0.9954 181.93 0.878535 0.989083 1.0173
 83 0.9724 182.178 1.23295 1.02228 0.990835
 84 1.0112 185.76 0.759028 0.99339 1.00261
 85 0.9905 182.098 0.929591 0.999667 0.999929
 86 0.992 185.343 1.36721 0.996189 1.00984
 87 1.0028 185.916 0.845193 1.00639 1.00297
 88 1.0032 185.599 0.900656 0.967569 0.964801
 89 0.9653 186.412 1.29741 1.01513 1.03365
 90 0.9809 191.48 0.820147 1.00506 0.981574
 91 0.9924 190.543 1.01995 1.02842 1.01103
 92 1.0148 189.926 1.07019 0.990025 0.985917
 93 0.989 188.098 1.14647 0.99204 1.03097
 94 0.9964 191.959 0.979993 1.00007 0.973472
 95 0.9951 191.919 0.778587 0.967275 0.984526
 96 0.9593 192.878 1.14666 1.02343 1.02273
 97 0.9795 197.961 1.29113 1.00013 0.983156
 98 0.9856 196.302 0.777726 1.01061 1.01583
 99 0.9961 196.275 1.00851 0.998249 1.00213
