                                                                          cycle k Ent path abs col 
 0 1.3106 103.34 1.28788 0.984464 0.994375
 1 1.2831 103.918 0.93966 1.01592 1.00513
 2 1.2988 106.942 0.800158 0.998914 0.974013
 3 1.2901 107.453 1.33094 1.01525 1.02365
 4 1.3143 109.389 0.917358 0.986553 0.992177
 5 1.2863 109.234 1.10239 0.997954 1.01753
 6 1.3002 112.319 0.810835 1.01851 0.995515
 7 1.3217 112.876 1.37108 0.97903 1.02491
 8 1.2948 112.887 0.874193 0.995306 0.964519
 9 1.2755 115.976 0.913312 1.00684 0.98961
 10 1.2959 118.478 1.17468 1.00789 1.02871
 11 1.298 118.476 0.711704 0.994244 0.982416
 12 1.2949 119.665 1.08058 1.00738 1.01515
 13 1.3228 121.218 0.951664 1.01546 1.01772
 14 1.3462 120.681 1.30885 0.972293 0.963584
 15 1.2892 120.544 0.903868 1.00651 1.00691
 16 1.3025 125.457 1.01878 0.994303 1.00073
 17 1.2882 125.865 1.01804 1.01307 0.993903
 18 1.3042 128.224 0.949563 1.00372 1.0061
 19 1.3148 128.347 0.992017 0.998257 1.00532
 20 1.3112 128.895 0.98592 0.994476 0.981251
 21 1.298 130.412 1.24504 1.00092 1.02426
 22 1.3108 132.551 0.973521 1.01605 1.01786
 23 1.3339 132.908 0.899778 0.982018 0.975119
 24 1.3112 132.468 0.798148 1.00798 0.993574
 25 1.3039 135.346 1.11998 1.01915 1.0258
 26 1.3408 137.078 1.05797 0.971986 0.975825
 27 1.3121 135.763 1.12321 1.00822 1.00362
 28 1.3199 138.962 1.05108 0.992389 1.00519
 29 1.3073 139.593 0.801391 0.997779 0.990389
 30 1.3016 141.735 1.07545 1.00284 1.01748
 31 1.3075 143.347 1.03809 0.997067 0.992093
 32 1.2958 143.984 0.932672 1.00993 1.0012
 33 1.313 146.115 0.882425 0.996175 1.01577
 34 1.3123 145.963 1.18014 0.993349 0.970991
 35 1.2939 147.23 1.00598 1.01114 1.02787
 36 1.3325 149.769 0.91423 0.993009 0.99132
 37 1.3179 147.922 1.05997 0.990755 0.999151
 38 1.2991 150.168 0.876625 1.01151 0.990873
 39 1.3078 152.841 1.06688 0.991719 0.993276
 40 1.3007 153.276 1.01781 1.01266 0.999457
 41 1.3106 154.957 1.23834 1.00008 0.989023
 42 1.3033 155.348 0.913304 1.00505 1.01404
 43 1.3305 157.039 1.00378 0.991868 1.01443
 44 1.3159 156.016 0.976014 0.991559 0.986872
 45 1.2991 158.287 1.00908 0.999968 1.01064
 46 1.29 160.742 0.889311 1.016 0.973594
 47 1.3171 162.582 1.06572 1.00791 1.02082
 48 1.3289 161.442 0.971817 0.977824 0.992207
 49 1.3066 161.609 0.86939 0.997313 1.02878
 50 1.3017 164.569 1.39153 1.01295 0.985286
 51 1.3038 166.009 0.720565 0.985011 0.994522
 52 1.2836 166.873 1.43786 0.996176 0.987717
 53 1.2914 169.724 0.70371 1.01796 1.03506
 54 1.2999 170.068 1.2407 0.979496 0.993555
 55 1.278 170.427 1.01765 1.01813 0.994677
 56 1.3188 173.403 0.9417 0.992891 0.994847
 57 1.2998 170.886 0.978736 1.00391 0.975763
 58 1.3132 173.509 1.00121 1.01037 1.02842
 59 1.3265 173.406 1.01577 1.00261 1.00299
 60 1.3045 173.261 1.03263 0.978229 0.987802
 61 1.2812 176.275 1.10458 1.02138 0.994673
 62 1.3246 179.484 0.93597 0.994846 1.00152
 63 1.3109 176.618 0.796907 0.991627 1.00127
 64 1.3033 178.854 1.09953 1.0021 1.009
 65 1.2981 180.56 0.925487 0.988233 1.00603
 66 1.3012 181.967 1.34754 1.00951 1.00273
 67 1.3142 182.778 1.00143 0.996944 1.00029
 68 1.3067 182.624 0.883088 0.986236 0.987605
 69 1.2794 184.257 1.0028 1.04443 1.00054
 70 1.3404 187.852 0.917678 0.991287 0.995071
 71 1.3403 183.22 1.02902 0.974416 1.00854
 72 1.2997 184.222 0.886008 1.02067 0.99304
 73 1.3238 189.019 1.11775 1.00685 1.00313
 74 1.3297 187.693 1.14979 0.987897 1.00378
 75 1.318 188.115 0.867613 1.0117 0.99511
 76 1.3356 190.182 1.11837 0.990006 1.00475
 77 1.3218 189.458 0.944441 0.99487 1.00356
 78 1.3068 191.733 0.921761 1.00692 0.997064
 79 1.3224 194.278 1.02431 0.997599 0.983626
 80 1.3138 193.712 0.992168 0.993427 1.01032
 81 1.2961 195.438 1.14288 0.990304 1.02128
 82 1.2887 198.001 0.864348 1.00531 0.992418
 83 1.2961 199.805 1.1197 1.00553 0.976373
 84 1.3108 199.952 1.00282 1.0088 1.01268
 85 1.3167 199.451 0.894157 0.98891 0.994856
 86 1.2975 199.871 0.998053 0.995087 1.02204
 87 1.3021 202.615 1.42054 1.01827 0.98565
 88 1.3175 203.125 0.795446 0.991197 0.999325
 89 1.3226 202.513 0.951517 1.01181 1.01688
 90 1.3282 202.929 1.05515 0.9933 1.00041
 91 1.3144 203.253 1.02479 0.998371 0.981507
 92 1.3093 205.555 0.995693 1.00677 1.00057
 93 1.3128 206.987 0.983125 0.979968 0.979443
 94 1.2965 207.7 0.942666 0.996577 1.01185
 95 1.2946 210.181 1.07008 1.01227 1.03276
 96 1.3025 211.268 0.742514 0.994429 0.961443
 97 1.303 211.306 1.31861 0.994434 1.00082
 98 1.2818 212.11 1.05197 1.02336 1.02052
 99 1.3186 215.259 0.896459 0.975007 0.994326
