                                                                          cycle k Ent path abs col 
 0 0.492464 6.62885 1.04 0.999556 1.00138
 1 0.493424 6.63154 1.03009 0.993773 0.998151
 2 0.4885 6.63115 0.957774 1.00701 0.996999
 3 0.49347 6.62693 1.01945 0.994765 1.00525
 4 0.490022 6.63089 1.01101 1.00102 0.999312
 5 0.490702 6.62945 0.956118 0.999024 0.997967
 6 0.490002 6.62932 1.0125 1.00375 0.999953
 7 0.491364 6.62934 1.01508 1.00376 1.00594
 8 0.493628 6.63134 0.960769 0.994247 0.993113
 9 0.490588 6.63012 1.02535 0.999232 1.00356
 10 0.491264 6.63072 0.995924 1.00213 1.00027
 11 0.492052 6.6306 0.994661 0.998598 0.996321
 12 0.491816 6.6313 0.982733 1.00351 1.00446
 13 0.492774 6.63038 1.06733 0.999403 0.997393
 14 0.492166 6.6305 0.929924 0.996102 0.994478
 15 0.490002 6.63071 1.03682 1.0011 1.00513
 16 0.491516 6.6299 1.00712 1.00008 1.00306
 17 0.492568 6.63026 1.02144 1.0003 0.993822
 18 0.491552 6.62848 0.970527 0.999598 1.00273
 19 0.491208 6.63006 0.98314 1.00122 1.00265
 20 0.492728 6.63253 1.00035 0.997087 1.00063
 21 0.48963 6.62979 1.01631 0.9995 0.99586
 22 0.490142 6.6289 0.994487 1.00509 1.00083
 23 0.491568 6.63179 0.996792 0.994041 0.999027
 24 0.489864 6.62913 1.00096 1.00146 1.0004
 25 0.48992 6.63127 0.968595 1.00371 1.00329
 26 0.491152 6.62883 1.03229 0.995022 0.996382
 27 0.490126 6.62997 0.965859 1.00269 1.00056
 28 0.490748 6.63193 1.05557 1.00041 1.00178
 29 0.49192 6.63045 0.969544 0.996673 0.993841
 30 0.48881 6.63016 1.01275 1.00827 1.00823
 31 0.493262 6.6295 1.02248 0.996185 1.0004
 32 0.49149 6.63152 0.979637 0.999842 0.995804
 33 0.491958 6.6282 1.03126 1.00013 1.00279
 34 0.49067 6.63124 0.996269 0.998824 0.998482
 35 0.490398 6.63003 0.941363 0.999575 0.999798
 36 0.491372 6.62962 1.02248 1.00387 1.00246
 37 0.493148 6.62975 1.04416 0.994498 0.998381
 38 0.490522 6.62918 0.951875 0.997977 0.997427
 39 0.488012 6.63089 1.00224 1.00452 1.00277
 40 0.490762 6.63031 0.986995 1.00219 0.99844
 41 0.493124 6.62976 1.02095 0.997671 0.998147
 42 0.49198 6.6308 1.00632 0.995637 0.996318
 43 0.489828 6.6299 0.997361 1.00356 1.00391
 44 0.49245 6.62929 1.00686 1.00068 1.00308
