                                                                          cycle k Ent path abs col 
 0 0.98461 6.23336 0.96908 1.00237 0.999068
 1 0.988056 6.23517 1.02365 1.0001 0.999424
 2 0.98963 6.23445 1.02735 0.999682 0.998513
 3 0.986112 6.23463 0.975479 1.00019 1.00481
 4 0.987004 6.23484 0.971496 0.996819 0.992333
 5 0.985658 6.23326 1.02293 1.00236 1.00515
 6 0.986422 6.23234 1.04786 0.999789 1.00091
 7 0.987672 6.23283 0.951569 0.999788 0.998438
 8 0.985754 6.23489 1.02133 1.00098 1.00176
 9 0.988036 6.23473 1.03027 1.00016 0.995507
 10 0.98853 6.23511 0.960821 1.00033 1.00577
 11 0.988224 6.23464 1.01877 0.995128 0.995505
 12 0.9825 6.23455 1.00845 1.00301 1.00195
 13 0.986282 6.23496 0.981488 1.00052 1.00004
 14 0.986032 6.23542 1.02844 0.999652 0.99905
 15 0.983494 6.23445 0.993654 1.00173 1.00318
 16 0.988024 6.23456 0.929571 0.998397 0.997418
 17 0.985848 6.2359 1.04625 1.00268 1.00101
 18 0.988256 6.23382 1.0064 0.997306 0.996602
 19 0.98642 6.23645 1.0123 1.00032 1.00309
 20 0.988012 6.23355 1.00935 0.997839 0.997764
 21 0.985048 6.23207 0.953264 1.00254 0.999613
 22 0.988586 6.23322 1.03294 0.996521 1.00298
 23 0.983912 6.23444 0.996794 1.00422 1.00032
 24 0.987872 6.23391 0.974677 0.999337 0.996253
 25 0.986362 6.23434 1.03649 0.998868 1.00326
 26 0.986448 6.23526 0.992425 0.998754 1.00069
 27 0.98526 6.23388 1.00923 1.00102 1.00093
 28 0.98645 6.23516 0.988633 1.00165 0.99841
 29 0.987494 6.23416 1.00403 0.997643 0.997768
 30 0.984006 6.235 1.00648 1.00068 1.00001
 31 0.984764 6.23347 0.984296 1.00102 1.00097
 32 0.987208 6.23456 0.973349 0.999638 0.998763
 33 0.98747 6.23352 1.04568 0.999596 1.00089
 34 0.987022 6.23344 0.96227 1.0007 1.00067
 35 0.986702 6.2346 1.04502 0.997203 0.9981
 36 0.983224 6.23455 0.995407 1.00429 1.00549
 37 0.988298 6.23532 0.974705 0.997279 0.997447
 38 0.98529 6.23542 1.01056 1.00203 1.00105
 39 0.987216 6.23547 1.00577 0.997751 0.998949
 40 0.985782 6.23474 1.00182 1.00246 0.998248
 41 0.987006 6.23442 0.993297 0.99769 0.99708
 42 0.98616 6.23492 0.991626 1.00347 1.00561
 43 0.988858 6.23435 1.018 0.998508 0.995091
 44 0.98684 6.23397 0.999888 0.998297 1.00338
