                                                                          cycle k Ent path abs col 
 0 1.04449 6.28252 0.976599 1.00041 0.999385
 1 1.04413 6.28067 1.02209 1.00012 1.00459
 2 1.04441 6.28141 0.968276 0.999664 0.992964
 3 1.0438 6.28076 1.0445 1.0004 1.00377
 4 1.0439 6.28154 0.965668 0.99856 0.999711
 5 1.04407 6.28142 1.04136 0.999843 1.00177
 6 1.04226 6.28145 0.964599 1.00052 0.997983
 7 1.04343 6.28089 1.01376 0.999973 0.999831
 8 1.04257 6.28234 0.990554 1.00124 1.0015
 9 1.04547 6.28105 1.02794 0.998162 0.999423
 10 1.04309 6.28176 0.97938 1.00295 0.998509
 11 1.04647 6.28242 0.977757 1.00055 1.00157
 12 1.04591 6.28214 1.01559 0.996959 0.998158
 13 1.04336 6.28204 1.00355 1.00095 1.00183
 14 1.04556 6.28128 0.96889 1.00194 1.00047
 15 1.04784 6.2819 1.04642 0.998026 0.998262
 16 1.04532 6.28367 1.01057 1.00007 1.00215
 17 1.04399 6.28058 0.996123 0.999403 0.996121
 18 1.04379 6.28228 0.97731 1.00088 1.00116
 19 1.04415 6.28181 1.00697 1.00001 1.00026
 20 1.04447 6.28275 1.00992 0.999114 0.99684
 21 1.04421 6.28264 0.98097 0.999816 1.00467
 22 1.0418 6.28259 1.0322 0.998387 1.00022
 23 1.04161 6.28248 0.986455 0.999061 0.999785
 24 1.04158 6.2819 0.963363 1.00294 0.997741
 25 1.04389 6.28074 1.04212 0.998062 1.00215
 26 1.04177 6.28224 0.988266 1.00282 0.999403
 27 1.04499 6.28272 1.00931 0.999385 0.997496
 28 1.04576 6.28089 0.989285 1.00078 1.00235
 29 1.04432 6.28148 0.990936 0.999306 0.999165
 30 1.04457 6.2823 1.03417 1.00012 1.00301
 31 1.04389 6.28039 0.981781 1.00045 0.99756
 32 1.04574 6.28211 1.01807 0.999776 1.00034
 33 1.0456 6.28114 0.977482 1.00042 1.0024
 34 1.04458 6.28438 0.964788 0.999452 0.997195
 35 1.04551 6.28194 1.06101 1.00198 1.00151
 36 1.0456 6.28303 0.985336 0.997629 1.00054
 37 1.04498 6.28206 0.985102 0.997734 0.998291
 38 1.04141 6.28191 1.02778 0.99941 1.00367
 39 1.04059 6.2805 0.990736 1.00429 0.995166
 40 1.0451 6.28224 0.978223 0.998344 1.00117
 41 1.04277 6.28179 1.00315 1.00023 0.998549
 42 1.04475 6.28015 1.009 0.998923 1.0015
 43 1.04262 6.28008 1.02047 0.999871 1.00128
 44 1.04377 6.28324 0.996616 1.0001 0.999672
