                                                                          cycle k Ent path abs col 
 0 1.29916 6.45185 1.00208 0.999576 0.999092
 1 1.2994 6.45233 1.04733 1.00097 1.00143
 2 1.30296 6.45231 0.957815 0.996987 0.997752
 3 1.29572 6.4511 1.04822 1.00092 1.00099
 4 1.30301 6.45206 0.961055 1.00159 0.999021
 5 1.29995 6.45134 1.02615 1.00018 1.00306
 6 1.30163 6.45155 0.969872 1.00019 0.998848
 7 1.30081 6.45249 1.02612 1.00091 0.997709
 8 1.30289 6.45175 0.964117 0.998391 1.00379
 9 1.30049 6.4511 1.00796 1.00247 0.999146
 10 1.30163 6.45158 1.01865 0.996928 1.00039
 11 1.29972 6.45147 1.02315 1.00242 0.99838
 12 1.30292 6.45184 0.997965 0.998445 1.0009
 13 1.29686 6.45192 0.981691 1.0001 0.995523
 14 1.30267 6.45093 0.972987 1.00193 1.00395
 15 1.30443 6.45224 1.0806 0.99873 1.00288
 16 1.29967 6.45154 0.920144 0.999997 0.996536
 17 1.30107 6.45079 0.993365 0.998046 0.997472
 18 1.30009 6.45257 1.03703 1.00241 1.00465
 19 1.30272 6.45233 0.965837 0.996761 0.997476
 20 1.29804 6.45187 1.05395 1.00257 1.00256
 21 1.30083 6.45196 1.02177 0.999976 0.997521
 22 1.30276 6.45218 0.944055 1.00045 1.00048
 23 1.30205 6.45196 1.01512 0.998566 1.00176
 24 1.29942 6.45171 1.00259 1.00047 0.99797
 25 1.30002 6.45199 1.00356 1.00018 0.998991
 26 1.30231 6.45174 0.9726 0.998745 1.00117
 27 1.30121 6.45151 1.01072 1.00144 0.999037
 28 1.30368 6.45138 1.00221 0.998881 1.00028
 29 1.29997 6.45191 1.04623 0.999881 1.00227
 30 1.29927 6.45179 0.961799 1.00012 0.998718
 31 1.3007 6.45303 1.0052 1.00159 1.00081
 32 1.30155 6.45147 1.001 0.999576 0.999414
 33 1.30022 6.4514 0.998119 1.00207 0.999557
 34 1.30583 6.45088 0.983373 0.996769 0.999174
 35 1.30084 6.45366 1.00207 1.00041 1.00176
 36 1.30222 6.45155 1.00633 0.998202 1.0005
 37 1.29923 6.45045 1.00152 1.001 0.998825
 38 1.3012 6.45157 1.00886 1.00324 0.999823
 39 1.30243 6.45215 1.00441 0.998472 0.99881
 40 1.30244 6.45377 1.00191 1.00162 0.99826
 41 1.30347 6.45192 1.00471 0.997712 1.00106
 42 1.30161 6.45264 0.98119 0.999188 1.00094
 43 1.30041 6.45095 1.00351 1.00039 0.999645
 44 1.30212 6.45185 1.00485 1.00101 0.999124
