                                                                          cycle k Ent path abs col 
 0 0.907218 6.18164 0.988773 1.00064 0.998126
 1 0.906394 6.18021 1.0062 1.00327 1.00123
 2 0.910008 6.18023 1.02028 1.00068 1.0034
 3 0.910576 6.18149 0.984592 0.99746 0.996129
 4 0.904804 6.18017 1.01752 1.00162 1.00373
 5 0.909592 6.18053 0.96704 0.99734 0.997715
 6 0.906488 6.18102 1.02077 1.00205 0.998981
 7 0.90903 6.18192 1.01024 0.998559 1.00172
 8 0.906682 6.18051 0.98493 0.999602 0.997745
 9 0.906062 6.18142 0.987691 1.00043 1.00052
 10 0.906542 6.1817 1.02382 1.00221 0.999403
 11 0.910982 6.18098 1.00005 0.998002 1.00032
 12 0.909864 6.18101 0.960086 0.996017 1.00044
 13 0.903008 6.18225 1.02803 1.00528 0.998602
 14 0.909516 6.18155 1.01111 0.999592 0.999493
 15 0.90915 6.18026 0.982732 1.00118 1.00239
 16 0.910478 6.1812 1.02023 0.999933 0.998596
 17 0.90959 6.18162 1.00288 0.998029 1.00188
 18 0.907724 6.18176 0.992257 1.00393 1.00201
 19 0.912952 6.18074 0.971854 0.996375 0.996411
 20 0.90787 6.18116 1.0388 1.00208 1.00075
 21 0.909688 6.18136 0.992487 0.996181 1.00044
 22 0.907762 6.17926 1.01573 1.00514 0.999297
 23 0.911256 6.18045 0.975086 0.998194 1.00278
 24 0.90938 6.18189 1.00426 0.997915 0.999111
 25 0.908524 6.18069 1.01585 1.00051 0.99675
 26 0.909034 6.18068 0.972215 0.999989 1.00142
 27 0.9075 6.18019 0.990277 1.00018 0.998801
 28 0.908536 6.18138 0.996098 0.996711 1.00042
 29 0.906126 6.18214 1.01893 1.00286 1.00277
 30 0.906842 6.18017 1.00199 1.00002 1.00047
 31 0.907456 6.18095 0.995607 1.00237 0.998705
 32 0.910182 6.18189 1.02427 0.995398 0.999851
 33 0.905592 6.18056 0.981043 1.00204 1.00139
 34 0.908244 6.17997 0.979401 1.00233 0.999058
 35 0.909826 6.18096 1.0108 1.00022 0.999012
 36 0.91048 6.1821 1.01528 0.999318 0.999354
 37 0.910752 6.17923 1.01191 0.999223 1.00306
 38 0.908894 6.18098 1.00046 1.00002 1.00021
 39 0.90908 6.17996 1.00134 0.99981 0.995304
 40 0.906254 6.1798 0.997123 0.996763 1.00407
 41 0.907806 6.18161 0.986259 1.00254 1.00102
 42 0.907936 6.18039 1.02075 0.999805 0.999024
 43 0.90897 6.1809 1.01845 0.99721 1.00033
 44 0.906106 6.17982 0.9799 1.00273 0.99865
