                                                                          cycle k Ent path abs col 
 0 0.4773 7.05986 0.90988 1.05955 1.02323
 1 0.5072 7.05655 0.776224 0.960627 0.969959
 2 0.4891 7.09204 0.872752 1.01518 1.02643
 3 0.4926 7.05847 1.32671 1.0267 1.02046
 4 0.4991 7.06285 1.00374 0.981714 0.978586
 5 0.4969 7.08699 0.986597 1.0102 1.02266
 6 0.5027 7.09695 1.04047 0.971824 0.962466
 7 0.4946 7.08296 0.809034 1.03117 1.0427
 8 0.5069 7.10143 1.17322 0.992083 1.00323
 9 0.4996 7.07592 1.07713 1.0011 0.999244
 10 0.5116 7.09118 1.00232 0.99561 1.00273
 11 0.4971 7.08105 0.88289 1.02844 0.984289
 12 0.5086 7.06241 1.1331 0.952359 0.983301
 13 0.4891 7.09059 0.729683 1.0297 1.03112
 14 0.5055 7.07518 1.10872 1.01276 0.9821
 15 0.5134 7.10798 1.28452 1.0016 1.04214
 16 0.5118 7.08299 1.05534 0.97055 0.97771
 17 0.502 7.0883 0.83097 1.02313 0.994248
 18 0.5023 7.08506 0.904064 0.991016 0.991728
 19 0.4962 7.06968 1.12448 1.0156 1.03501
 20 0.5134 7.078 0.809866 0.987948 0.951505
 21 0.5061 7.1027 1.23221 0.983113 1.02736
 22 0.4952 7.10698 0.969836 1.00652 0.983421
 23 0.5044 7.05947 1.02987 0.998585 1.00142
 24 0.4998 7.10349 1.25311 1.00063 0.993015
 25 0.495 7.08108 0.782216 0.993124 1.00726
 26 0.497 7.09788 1.08735 1.0041 1.00866
 27 0.4969 7.10001 0.79395 1.00332 0.987669
 28 0.4903 7.07833 1.11991 0.984895 0.977356
 29 0.4925 7.07698 0.760905 1.01882 1.00873
 30 0.503 7.0748 1.37653 1.00369 1.01449
 31 0.4995 7.09015 1.14572 1.02429 1.02785
 32 0.5121 7.08369 0.782481 0.962698 0.954521
 33 0.4889 7.11539 1.22378 1.03431 1.03296
 34 0.5099 7.06293 0.882229 0.966613 0.998044
 35 0.4972 7.09688 0.997334 1.018 1.01556
 36 0.4923 7.08061 0.967083 0.956706 0.983386
