                                                                          cycle k Ent path abs col 
 0 0.01 3.20241 0.751759 1.43774 1.25596
 1 0.0144 3.20663 1.1642 0.899315 1.03731
 2 0.0124 3.36189 1.2817 1.12808 1.03343
 3 0.0136 3.27133 0.81807 0.901399 0.906978
 4 0.0127 3.08269 1.25917 0.912182 0.968042
 5 0.0112 3.29015 0.795062 1.18747 1.12918
 6 0.0115 3.22467 1.49463 1.0233 1.04148
 7 0.0142 3.29583 0.598443 1.00208 0.820325
 8 0.014 3.26138 1.0329 0.781361 0.936948
 9 0.0117 3.35952 1.69104 0.836793 0.924279
 10 0.008 3.11271 0.60951 1.69346 1.38395
 11 0.0136 2.98163 1.12849 0.749071 0.776639
 12 0.0126 3.33901 0.894309 1.30945 1.34988
 13 0.0161 3.39244 1.21068 0.750508 0.832996
 14 0.0103 3.40411 0.729997 1.07058 1.18959
 15 0.0109 3.21319 1.0131 1.01268 0.827538
 16 0.0127 3.05154 1.07762 0.788181 0.727228
 17 0.0096 3.2491 1.17982 1.2512 1.36575
 18 0.0113 3.20581 0.989005 1.00049 0.933166
 19 0.0112 3.27571 1.34863 1.10682 1.17822
 20 0.0122 3.1634 0.829988 0.938698 1.0422
 21 0.014 3.41883 1.0822 0.960013 0.913508
 22 0.0114 3.25682 0.805062 0.860027 0.939549
 23 0.0104 3.05863 1.43767 1.5602 1.29275
 24 0.0173 3.04166 0.416565 0.639287 0.79238
 25 0.0094 3.48554 1.62417 1.04598 0.941356
 26 0.0101 2.97441 0.768922 0.936657 1.04836
 27 0.0102 3.22609 1.49025 1.19624 1.20977
 28 0.0109 3.34445 0.834889 1.04294 0.960984
 29 0.0133 3.15199 0.995254 1.09932 0.805809
 30 0.0134 3.18027 1.44902 1.09043 1.44959
 31 0.0149 3.45664 0.742531 0.960855 0.947235
 32 0.0143 3.41046 1.41736 0.724001 0.698526
 33 0.0101 3.32965 0.865028 1.17144 1.20867
 34 0.0136 3.30805 1.09641 1.18762 0.901665
 35 0.0129 3.35449 0.740715 0.665664 0.797113
 36 0.009 3.37898 0.796588 1.29707 1.407
 37 0.0127 3.206 1.61868 0.822777 0.854028
 38 0.01 3.28608 0.634958 1.36412 1.18805
 39 0.0135 3.25616 0.981608 0.869344 0.999555
 40 0.0129 3.26532 0.998664 1.05439 0.978932
 41 0.0135 3.37838 0.696536 1.0083 0.877695
 42 0.0145 3.35918 1.61071 0.849079 1.00448
 43 0.0117 3.36828 0.867535 0.822582 0.853253
 44 0.0086 3.2531 1.07233 1.22974 1.36605
 45 0.0123 2.96004 1.52367 1.122 0.927314
 46 0.0101 3.22815 0.89487 0.861038 0.954273
 47 0.0101 3.02005 0.997855 1.05381 1.10435
 48 0.0124 3.12598 1.04556 0.966153 0.98307
 49 0.0112 3.27356 0.858502 0.813109 0.71023
 50 0.0102 3.27029 0.895586 1.02942 1.18432
 51 0.0094 3.23402 1.41431 1.28768 1.21306
 52 0.0119 3.29341 0.85655 0.741811 0.687186
 53 0.0092 3.23754 0.455039 1.33091 1.35962
 54 0.0124 3.17591 1.49061 1.08608 1.10397
 55 0.0123 3.3185 1.35449 1.00982 1.00765
 56 0.0129 3.25624 1.26678 1.10685 1.11303
 57 0.0154 3.31229 0.574287 0.960194 0.901058
 58 0.0137 3.31343 1.66548 0.768296 0.904292
 59 0.0097 3.43629 0.972755 1.3488 1.26788
 60 0.013 3.10352 1.09782 0.690157 0.57776
 61 0.0088 3.02232 0.502687 1.22707 1.36201
 62 0.0125 2.99242 2.34023 1.05392 1.0827
 63 0.0122 3.34398 1.00194 0.826331 0.91305
 64 0.0098 2.88459 0.645102 0.926982 0.818814
 65 0.0112 3.18155 0.885049 1.15713 1.06726
 66 0.0105 3.22287 1.26648 0.975027 0.876981
 67 0.0103 3.1997 0.85722 1.20265 1.58874
 68 0.0114 3.14759 1.64407 1.13234 1.0647
 69 0.016 3.31706 0.720105 0.715866 0.68956
 70 0.0108 3.30188 0.506394 0.960589 0.888261
 71 0.0103 3.27885 1.40852 1.13656 1.26152
 72 0.0115 3.30495 1.02641 1.14826 1.14437
 73 0.0136 3.21521 0.872707 0.883536 0.805406
 74 0.0111 3.44979 0.943416 1.07841 1.1931
 75 0.0114 3.32853 1.82064 0.921394 0.84654
 76 0.0118 3.11906 0.919752 1.10878 1.22917
 77 0.0134 3.31217 0.525796 0.753443 0.687876
 78 0.0098 3.37803 1.51759 1.5243 1.60154
 79 0.0151 3.24 1.24559 0.767699 0.644875
 80 0.0099 3.07348 1.07657 1.20405 1.32787
 81 0.0153 3.31906 0.568125 0.853971 0.958849
 82 0.0103 3.36544 1.11094 0.886622 0.84287
 83 0.0107 3.11609 1.48153 0.973429 0.915357
 84 0.0105 2.981 1.30045 1.11616 1.34798
 85 0.0114 3.20345 0.503249 0.870319 0.812029
 86 0.0106 3.17724 1.40954 1.33828 1.22452
 87 0.0142 3.20276 1.24811 0.736043 0.750162
 88 0.0094 3.33639 0.772217 1.4485 1.45064
 89 0.013 3.05021 0.782945 0.843174 0.84602
 90 0.0105 3.27476 1.40559 1.1791 1.1002
 91 0.0153 3.18759 0.996469 0.840486 1.02613
 92 0.0122 3.25728 0.713071 0.90694 0.790672
 93 0.0093 3.26197 1.11177 1.27641 1.20199
 94 0.0147 3.12021 0.900323 0.874793 0.942114
 95 0.0122 3.34596 1.45413 1.14358 1.13784
 96 0.0153 3.29685 0.521572 0.766887 0.830196
 97 0.0121 3.26825 1.79985 0.963017 1.10172
 98 0.0108 3.26823 0.876663 1.27731 1.00427
 99 0.0122 3.45936 1.14883 1.08257 0.985684
