                                                                          cycle k Ent path abs col 
 0 1.0359 7.31259 1.13782 1.00165 1.02207
 1 1.0548 7.30078 0.754255 0.995371 0.976591
 2 1.0483 7.3219 1.23353 1.01142 1.00041
 3 1.0596 7.29592 1.1839 0.980943 0.999329
 4 1.035 7.30595 0.999926 1.01696 1.02569
 5 1.066 7.29341 0.796753 0.985717 0.975245
 6 1.0416 7.32594 1.25467 0.995873 1.01681
 7 1.0464 7.28831 1.09652 1.01472 1.00253
 8 1.0459 7.2939 0.837413 0.99938 0.993963
 9 1.0395 7.29513 0.90886 0.991536 0.995256
 10 1.0483 7.29723 1.08171 1.00615 1.00547
 11 1.0429 7.29854 1.29984 0.99661 0.996754
 12 1.0479 7.29788 0.730498 1.0095 0.994543
 13 1.0674 7.29592 1.11952 0.997101 1.02681
 14 1.0521 7.29941 0.865777 0.980195 0.960455
 15 1.0349 7.3009 1.05104 1.01319 1.02256
 16 1.0468 7.2828 0.927387 0.993858 0.993126
 17 1.0217 7.30017 1.16216 1.00178 0.988531
 18 1.0517 7.2954 0.969271 1.00808 1.01408
 19 1.0439 7.29858 1.06429 0.999351 1.00261
 20 1.0462 7.27796 0.851641 1.00418 0.996187
 21 1.0578 7.28987 0.988058 0.997419 0.987213
 22 1.0383 7.30968 1.2182 0.998835 1.02979
 23 1.0553 7.27417 0.856114 0.993741 0.990882
 24 1.0306 7.299 0.853545 1.00509 0.984331
 25 1.0467 7.30756 1.14589 0.991243 1.01159
 26 1.0456 7.31286 1.05191 0.999015 1.00809
 27 1.0274 7.30186 0.948137 1.00938 0.975873
 28 1.0356 7.28974 1.04072 0.982499 1.04793
 29 1.0347 7.2807 1.27661 1.02159 0.957736
 30 1.05 7.31542 0.777736 1.00643 1.01117
 31 1.0555 7.30356 1.12675 1.00542 1.002
 32 1.08 7.31632 1.05673 0.987644 1.00851
 33 1.0523 7.32305 0.751495 0.999562 0.982659
 34 1.051 7.30622 1.05678 0.988965 1.0174
 35 1.0378 7.31746 1.08968 1.01872 1.00055
 36 1.0545 7.30452 0.947144 0.969855 0.984207
 37 1.0156 7.29988 1.07138 1.0234 1.01203
 38 1.0523 7.28293 0.963495 1.00608 0.996935
 39 1.0618 7.31534 0.840824 0.991139 0.986721
 40 1.0526 7.32127 1.11395 1.00264 1.00515
 41 1.0482 7.28373 1.19797 1.01409 1.006
 42 1.0539 7.30145 0.823686 0.989041 0.983734
 43 1.0402 7.30581 0.997455 1.00751 1.01958
 44 1.0517 7.29528 1.07031 0.983242 1.00042
 45 1.0418 7.29663 0.782026 0.995453 0.996134
 46 1.0204 7.30374 1.79795 1.01025 0.996716
 47 1.0372 7.30071 0.715566 1.00891 1.01199
 48 1.0624 7.30627 1.14706 0.991551 1.00301
 49 1.0516 7.31199 0.840277 1.00454 0.987863
 50 1.0542 7.29623 1.13014 0.991663 1.00899
 51 1.0396 7.29855 0.857053 1.00114 0.983408
 52 1.0547 7.27906 0.887016 1.016 1.02418
 53 1.0609 7.32401 1.30024 0.986627 0.995103
