                                                                          cycle k Ent path abs col 
 0 1.3106 7.4926 1.28788 0.984464 0.994375
 1 1.2831 7.48372 0.93966 1.01592 1.00513
 2 1.2988 7.47366 0.800158 0.998914 0.974013
 3 1.2901 7.47865 1.33094 1.01525 1.02365
 4 1.3143 7.48281 0.917358 0.986553 0.992177
 5 1.2863 7.50123 1.10239 0.997954 1.01753
 6 1.3002 7.50819 0.810835 1.01851 0.995515
 7 1.3217 7.48865 1.37108 0.97903 1.02491
 8 1.2948 7.49865 0.874193 0.995306 0.964519
 9 1.2755 7.49104 0.913312 1.00684 0.98961
 10 1.2959 7.49364 1.17468 1.00789 1.02871
 11 1.298 7.49768 0.711704 0.994244 0.982416
 12 1.2949 7.48457 1.08058 1.00738 1.01515
 13 1.3228 7.49632 0.951664 1.01546 1.01772
 14 1.3462 7.5083 1.30885 0.972293 0.963584
 15 1.2892 7.49684 0.903868 1.00651 1.00691
 16 1.3025 7.48215 1.01878 0.994303 1.00073
 17 1.2882 7.47934 1.01804 1.01307 0.993903
 18 1.3042 7.4925 0.949563 1.00372 1.0061
 19 1.3148 7.4788 0.992017 0.998257 1.00532
 20 1.3112 7.49289 0.98592 0.994476 0.981251
 21 1.298 7.49453 1.24504 1.00092 1.02426
 22 1.3108 7.49001 0.973521 1.01605 1.01786
 23 1.3339 7.51537 0.899778 0.982018 0.975119
 24 1.3112 7.4901 0.798148 1.00798 0.993574
 25 1.3039 7.49273 1.11998 1.01915 1.0258
 26 1.3408 7.48616 1.05797 0.971986 0.975825
 27 1.3121 7.4907 1.12321 1.00822 1.00362
 28 1.3199 7.49463 1.05108 0.992389 1.00519
 29 1.3073 7.48941 0.801391 0.997779 0.990389
 30 1.3016 7.48877 1.07545 1.00284 1.01748
 31 1.3075 7.48822 1.03809 0.997067 0.992093
 32 1.2958 7.49487 0.932672 1.00993 1.0012
 33 1.313 7.49066 0.882425 0.996175 1.01577
 34 1.3123 7.51248 1.18014 0.993349 0.970991
 35 1.2939 7.48317 1.00598 1.01114 1.02787
 36 1.3325 7.48224 0.91423 0.993009 0.99132
 37 1.3179 7.49309 1.05997 0.990755 0.999151
 38 1.2991 7.50164 0.876625 1.01151 0.990873
 39 1.3078 7.48492 1.06688 0.991719 0.993276
 40 1.3007 7.48986 1.01781 1.01266 0.999457
 41 1.3106 7.47999 1.23834 1.00008 0.989023
 42 1.3033 7.48529 0.913304 1.00505 1.01404
 43 1.3305 7.49515 1.00378 0.991868 1.01443
 44 1.3159 7.50615 0.976014 0.991559 0.986872
 45 1.2991 7.49558 1.00908 0.999968 1.01064
 46 1.29 7.48329 0.889311 1.016 0.973594
 47 1.3171 7.48482 1.06572 1.00791 1.02082
 48 1.3289 7.49397 0.971817 0.977824 0.992207
 49 1.3066 7.49522 0.86939 0.997313 1.02878
 50 1.3017 7.50602 1.39153 1.01295 0.985286
