                                                                          cycle k Ent path abs col 
 0 0.2239 6.12858 1.33616 1.01956 1.0255
 1 0.2226 6.02569 1.07216 0.969646 1.02002
 2 0.2213 6.05691 0.664601 1.03177 0.972815
 3 0.2277 6.10004 0.935038 1.00594 0.973979
 4 0.2275 6.05713 1.16593 1.01232 1.04034
 5 0.2232 6.07372 1.1732 0.948059 0.986025
 6 0.2177 6.06488 0.932581 1.02339 1.00598
 7 0.2255 6.05841 0.777237 0.969318 1.00225
 8 0.2204 6.10573 1.40782 1.01295 0.963236
 9 0.2185 6.03802 0.907102 0.973706 1.04687
 10 0.2182 6.08947 0.939817 1.05886 1.00675
 11 0.2216 6.08449 0.852574 0.982465 0.979658
 12 0.2197 6.07591 2.06961 1.02977 1.01788
 13 0.2257 6.08299 0.458345 0.977391 0.973874
 14 0.2285 6.0764 1.13118 0.955615 1.00387
 15 0.2193 6.05511 1.04694 1.03617 1.02534
 16 0.2248 6.03897 1.3511 0.995336 0.984759
 17 0.2256 6.06605 0.820729 0.959846 0.958468
 18 0.2072 6.09553 1.05814 1.04766 1.03257
 19 0.2277 6.07047 0.81086 1.05991 0.997223
 20 0.2348 6.08882 1.14397 0.900379 0.978022
 21 0.2137 6.09141 0.608085 1.08769 1.06202
 22 0.2297 6.02724 1.33297 0.949013 0.997782
 23 0.2211 6.06806 1.12525 1.02468 0.95462
 24 0.2272 6.04548 1.22936 1.06279 1.02469
 25 0.2353 6.12495 1.01537 0.941895 0.985582
 26 0.2228 6.13309 1.25095 0.965565 1.00198
 27 0.2117 6.04721 0.702882 1.03868 1.0283
 28 0.2259 6.02181 0.75067 1.02319 0.96477
 29 0.2326 6.08218 0.699423 0.960536 1.00934
 30 0.2211 6.06127 2.73526 1.03971 0.997811
 31 0.2242 6.07429 0.54739 0.965755 0.974713
 32 0.2182 6.08462 1.12074 0.995502 1.0334
 33 0.2273 6.07546 1.1394 1.04211 1.02637
 34 0.2293 6.07824 1.2757 0.944306 0.977973
 35 0.2159 6.08842 0.54225 1.00182 0.96569
 36 0.2163 6.05333 1.32285 1.03065 1.01149
 37 0.2239 6.06762 0.937428 0.993313 1.03031
 38 0.2267 6.07347 0.757658 1.01841 0.999005
 39 0.226 6.08378 1.50839 0.956634 0.991012
 40 0.2118 6.03996 1.20984 1.03047 1.00875
 41 0.2209 6.02442 0.629084 0.94437 1.00029
 42 0.2062 6.07204 1.23973 1.0825 1.039
 43 0.2261 6.04849 1.0668 1.01519 0.966653
 44 0.2296 6.04454 0.808768 0.992598 1.02369
 45 0.2318 6.09739 1.7088 0.976612 0.956174
 46 0.23 6.07949 0.749501 0.980977 1.03802
 47 0.2235 6.10889 0.763801 1.05877 0.973984
 48 0.2363 6.07489 2.32571 0.980475 1.00409
 49 0.2297 6.06683 0.460328 0.995717 1.01529
 50 0.2318 6.10294 1.08805 1.00696 0.97299
 51 0.227 6.10191 1.57204 0.971032 1.04037
 52 0.2234 6.08396 0.467809 0.998449 0.949037
 53 0.2233 6.10932 2.23964 1.02352 1.03414
 54 0.2277 6.07417 0.890432 0.959074 0.984698
 55 0.2172 6.10626 0.359693 1.01539 0.992445
 56 0.221 6.08893 2.98831 1.00828 0.999093
 57 0.2269 6.06917 0.783838 0.998857 1.00126
 58 0.2221 6.08717 0.964258 1.0302 1.02952
 59 0.2279 6.04472 0.634076 1.01182 0.983766
 60 0.2346 6.06658 1.65836 0.987543 0.999992
 61 0.2253 6.11656 1.04721 0.935206 0.979133
 62 0.2187 6.0965 0.930593 1.05292 1.07363
 63 0.2302 6.07642 1.16121 0.990655 0.951403
 64 0.2219 6.07795 0.575261 0.99519 0.991269
 65 0.2234 6.08353 1.24333 1.01389 0.976403
 66 0.2286 6.07496 1.09732 1.00771 1.00764
 67 0.2283 6.05577 1.14341 0.983363 1.01854
 68 0.232 6.08736 0.83766 1.02091 1.01917
 69 0.2253 6.08447 1.45893 0.973132 1.00193
 70 0.2271 6.05888 0.622461 1.01693 1.00667
 71 0.2286 6.09444 1.48421 1.01193 0.977634
 72 0.2311 6.08021 1.08551 0.994285 1.03095
 73 0.2249 6.118 0.397766 1.01042 0.968705
 74 0.2285 6.08025 1.76048 0.980904 1.05381
 75 0.2326 6.08079 0.909562 1.01639 0.988641
 76 0.2349 6.1053 0.987415 0.989615 0.973189
 77 0.2287 6.10652 1.32543 0.978312 0.968174
 78 0.2181 6.06834 1.16309 1.04703 1.04368
 79 0.2317 6.06666 1.06078 0.976953 0.96837
 80 0.23 6.07631 0.398962 0.984394 0.98948
 81 0.2219 6.08716 1.78032 0.984558 1.04327
 82 0.2201 6.05194 1.20017 0.960538 0.958957
 83 0.2114 6.0694 0.740437 1.07007 1.02378
