                                                                          cycle k Ent path abs col 
 0 0.2239 82.8229 1.33616 1.01956 1.0255
 1 0.2226 86.2264 1.07216 0.969646 1.02002
 2 0.2213 87.4138 0.664601 1.03177 0.972815
 3 0.2277 88.63 0.935038 1.00594 0.973979
 4 0.2275 87.7315 1.16593 1.01232 1.04034
 5 0.2232 88.7764 1.1732 0.948059 0.986025
 6 0.2177 90.4015 0.932581 1.02339 1.00598
 7 0.2255 92.5759 0.777237 0.969318 1.00225
 8 0.2204 91.5685 1.40782 1.01295 0.963236
 9 0.2185 93.5333 0.907102 0.973706 1.04687
 10 0.2182 94.7443 0.939817 1.05886 1.00675
 11 0.2216 95.3864 0.852574 0.982465 0.979658
 12 0.2197 95.3258 2.06961 1.02977 1.01788
 13 0.2257 96.4454 0.458345 0.977391 0.973874
 14 0.2285 95.7927 1.13118 0.955615 1.00387
 15 0.2193 95.8389 1.04694 1.03617 1.02534
 16 0.2248 98.7784 1.3511 0.995336 0.984759
 17 0.2256 98.2204 0.820729 0.959846 0.958468
 18 0.2072 98.7689 1.05814 1.04766 1.03257
 19 0.2277 104.543 0.81086 1.05991 0.997223
 20 0.2348 99.5319 1.14397 0.900379 0.978022
 21 0.2137 98.6633 0.608085 1.08769 1.06202
 22 0.2297 104.625 1.33297 0.949013 0.997782
 23 0.2211 101.14 1.12525 1.02468 0.95462
 24 0.2272 103.99 1.22936 1.06279 1.02469
 25 0.2353 103.108 1.01537 0.941895 0.985582
 26 0.2228 101.943 1.25095 0.965565 1.00198
 27 0.2117 105.582 0.702882 1.03868 1.0283
 28 0.2259 109.158 0.75067 1.02319 0.96477
 29 0.2326 106.077 0.699423 0.960536 1.00934
 30 0.2211 105.042 2.73526 1.03971 0.997811
 31 0.2242 108.718 0.54739 0.965755 0.974713
 32 0.2182 108.454 1.12074 0.995502 1.0334
 33 0.2273 110.606 1.1394 1.04211 1.02637
 34 0.2293 108.929 1.2757 0.944306 0.977973
 35 0.2159 108.637 0.54225 1.00182 0.96569
 36 0.2163 113.045 1.32285 1.03065 1.01149
 37 0.2239 113.433 0.937428 0.993313 1.03031
 38 0.2267 111.89 0.757658 1.01841 0.999005
 39 0.226 111.839 1.50839 0.956634 0.991012
 40 0.2118 112.572 1.20984 1.03047 1.00875
 41 0.2209 116.963 0.629084 0.94437 1.00029
 42 0.2062 115.107 1.23973 1.0825 1.039
 43 0.2261 119.709 1.0668 1.01519 0.966653
 44 0.2296 114.57 0.808768 0.992598 1.02369
 45 0.2318 114.224 1.7088 0.976612 0.956174
 46 0.23 114.158 0.749501 0.980977 1.03802
 47 0.2235 115.324 0.763801 1.05877 0.973984
 48 0.2363 117.596 2.32571 0.980475 1.00409
 49 0.2297 114.578 0.460328 0.995717 1.01529
 50 0.2318 116.92 1.08805 1.00696 0.97299
 51 0.227 116.772 1.57204 0.971032 1.04037
 52 0.2234 118.821 0.467809 0.998449 0.949037
 53 0.2233 120.231 2.23964 1.02352 1.03414
 54 0.2277 120.743 0.890432 0.959074 0.984698
 55 0.2172 119.985 0.359693 1.01539 0.992445
 56 0.221 123.234 2.98831 1.00828 0.999093
 57 0.2269 122.743 0.783838 0.998857 1.00126
 58 0.2221 121.766 0.964258 1.0302 1.02952
 59 0.2279 123.596 0.634076 1.01182 0.983766
 60 0.2346 122.31 1.65836 0.987543 0.999992
 61 0.2253 121.162 1.04721 0.935206 0.979133
 62 0.2187 124.183 0.930593 1.05292 1.07363
 63 0.2302 126.34 1.16121 0.990655 0.951403
 64 0.2219 123.815 0.575261 0.99519 0.991269
 65 0.2234 126.43 1.24333 1.01389 0.976403
 66 0.2286 126.333 1.09732 1.00771 1.00764
 67 0.2283 125.305 1.14341 0.983363 1.01854
 68 0.232 125.949 0.83766 1.02091 1.01917
 69 0.2253 125.464 1.45893 0.973132 1.00193
 70 0.2271 127.683 0.622461 1.01693 1.00667
 71 0.2286 127.611 1.48421 1.01193 0.977634
 72 0.2311 127.644 1.08551 0.994285 1.03095
 73 0.2249 127.377 0.397766 1.01042 0.968705
 74 0.2285 129.478 1.76048 0.980904 1.05381
 75 0.2326 128.916 0.909562 1.01639 0.988641
 76 0.2349 128.316 0.987415 0.989615 0.973189
 77 0.2287 127.992 1.32543 0.978312 0.968174
 78 0.2181 130.092 1.16309 1.04703 1.04368
 79 0.2317 133.269 1.06078 0.976953 0.96837
 80 0.23 130.093 0.398962 0.984394 0.98948
 81 0.2219 130.893 1.78032 0.984558 1.04327
 82 0.2201 133.2 1.20017 0.960538 0.958957
 83 0.2114 134.361 0.740437 1.07007 1.02378
 84 0.2262 136.818 0.845396 1.00508 0.968026
 85 0.2293 133.593 0.904848 0.994675 1.06465
 86 0.2279 133.095 1.304 0.959235 0.976096
 87 0.2245 133.726 1.05115 1.01576 0.98182
 88 0.223 134.797 0.495119 1.03536 1.02496
 89 0.2253 135.633 1.71393 1.00748 0.990316
 90 0.2312 135.508 2.31456 0.949807 0.993469
 91 0.2223 134.343 0.542774 1.04024 0.979706
 92 0.2339 136.991 0.820401 0.996579 1.06796
 93 0.2335 134.311 1.04112 1.01829 0.939485
 94 0.2275 134.872 1.22838 0.962489 1.06022
 95 0.222 136.477 1.14497 1.00975 0.957257
 96 0.2195 138.252 0.680802 0.977361 1.01796
 97 0.2194 139.201 0.930312 1.00581 0.939073
 98 0.2188 139.468 1.26412 1.01236 1.06016
 99 0.2227 140.051 0.665632 0.970355 0.96904
